symbol	hgncId	ncbiGeneId	ensemblGeneId
A1BG	HGNC:5	1	ENSG00000121410
A1CF	HGNC:24086	29974	ENSG00000148584
A2M	HGNC:7	2	ENSG00000175899
A3GALT2	HGNC:30005	127550	ENSG00000184389
A4GNT	HGNC:17968	51146	ENSG00000118017
AACS	HGNC:21298	65985	ENSG00000081760
AADAC	HGNC:17	13	ENSG00000114771
AADACL2	HGNC:24427	344752	ENSG00000197953
AADACL3	HGNC:32037	126767	ENSG00000188984
AADACL4	HGNC:32038	343066	ENSG00000204518
AADAT	HGNC:17929	51166	ENSG00000109576
AAK1	HGNC:19679	22848	ENSG00000115977
AAMDC	HGNC:30205	28971	ENSG00000087884
AAMP	HGNC:18	14	ENSG00000127837
AAR2	HGNC:15886	25980	ENSG00000131043
AARD	HGNC:33842	441376	ENSG00000205002
AARSD1	HGNC:28417	80755	ENSG00000266967
AASDH	HGNC:23993	132949	ENSG00000157426
AASDHPPT	HGNC:14235	60496	ENSG00000149313
AATF	HGNC:19235	26574	ENSG00000275700
AATK	HGNC:21	9625	ENSG00000181409
ABCA6	HGNC:36	23460	ENSG00000154262
ABCA8	HGNC:38	10351	ENSG00000141338
ABCA9	HGNC:39	10350	ENSG00000154258
ABCA10	HGNC:30	10349	ENSG00000154263
ABCA13	HGNC:14638	154664	ENSG00000179869
ABCB5	HGNC:46	340273	ENSG00000004846
ABCB8	HGNC:49	11194	ENSG00000197150
ABCB9	HGNC:50	23457	ENSG00000150967
ABCB10	HGNC:41	23456	ENSG00000135776
ABCC3	HGNC:54	8714	ENSG00000108846
ABCC5	HGNC:56	10057	ENSG00000114770
ABCC10	HGNC:52	89845	ENSG00000124574
ABCC12	HGNC:14640	94160	ENSG00000140798
ABCD2	HGNC:66	225	ENSG00000173208
ABCE1	HGNC:69	6059	ENSG00000164163
ABCF1	HGNC:70	23	ENSG00000204574
ABCF2	HGNC:71	10061	ENSG00000033050
ABCF3	HGNC:72	55324	ENSG00000161204
ABCG1	HGNC:73	9619	ENSG00000160179
ABCG4	HGNC:13884	64137	ENSG00000172350
ABHD1	HGNC:17553	84696	ENSG00000143994
ABHD2	HGNC:18717	11057	ENSG00000140526
ABHD3	HGNC:18718	171586	ENSG00000158201
ABHD4	HGNC:20154	63874	ENSG00000100439
ABHD6	HGNC:21398	57406	ENSG00000163686
ABHD8	HGNC:23759	79575	ENSG00000127220
ABHD10	HGNC:25656	55347	ENSG00000144827
ABHD11	HGNC:16407	83451	ENSG00000106077
ABHD12B	HGNC:19837	145447	ENSG00000131969
ABHD13	HGNC:20293	84945	ENSG00000139826
ABHD14A	HGNC:24538	25864	ENSG00000248487
ABHD14B	HGNC:28235	84836	ENSG00000114779
ABHD15	HGNC:26971	116236	ENSG00000168792
ABHD16B	HGNC:16128	140701	ENSG00000183260
ABHD17A	HGNC:28756	81926	ENSG00000129968
ABHD17B	HGNC:24278	51104	ENSG00000107362
ABHD17C	HGNC:26925	58489	ENSG00000136379
ABHD18	HGNC:26111	80167	ENSG00000164074
ABI1	HGNC:11320	10006	ENSG00000136754
ABI2	HGNC:24011	10152	ENSG00000138443
ABI3	HGNC:29859	51225	ENSG00000108798
ABI3BP	HGNC:17265	25890	ENSG00000154175
ABITRAM	HGNC:1364	54942	ENSG00000119328
ABL2	HGNC:77	27	ENSG00000143322
ABLIM1	HGNC:78	3983	ENSG00000099204
ABLIM2	HGNC:19195	84448	ENSG00000163995
ABLIM3	HGNC:29132	22885	ENSG00000173210
ABR	HGNC:81	29	ENSG00000159842
ABRA	HGNC:30655	137735	ENSG00000174429
ABRACL	HGNC:21230	58527	ENSG00000146386
ABRAXAS1	HGNC:25829	84142	ENSG00000163322
ABRAXAS2	HGNC:28975	23172	ENSG00000165660
ABT1	HGNC:17369	29777	ENSG00000146109
ABTB1	HGNC:18275	80325	ENSG00000114626
ABTB2	HGNC:23842	25841	ENSG00000166016
ABTB3	HGNC:23844	121551	ENSG00000151136
ACAA1	HGNC:82	30	ENSG00000060971
ACAA2	HGNC:83	10449	ENSG00000167315
ACACB	HGNC:85	32	ENSG00000076555
ACAD10	HGNC:21597	80724	ENSG00000111271
ACAD11	HGNC:30211	84129	ENSG00000240303
ACAP1	HGNC:16467	9744	ENSG00000072818
ACAP2	HGNC:16469	23527	ENSG00000114331
ACAP3	HGNC:16754	116983	ENSG00000131584
ACBD3	HGNC:15453	64746	ENSG00000182827
ACBD4	HGNC:23337	79777	ENSG00000181513
ACBD7	HGNC:17715	414149	ENSG00000176244
ACCS	HGNC:23989	84680	ENSG00000110455
ACCSL	HGNC:34391	390110	ENSG00000205126
ACE2	HGNC:13557	59272	ENSG00000130234
ACER1	HGNC:18356	125981	ENSG00000167769
ACER2	HGNC:23675	340485	ENSG00000177076
ACIN1	HGNC:17066	22985	ENSG00000100813
ACKR2	HGNC:1565	1238	ENSG00000144648
ACKR4	HGNC:1611	51554	ENSG00000129048
ACKR5	HGNC:13708	11318	ENSG00000166856
ACLY	HGNC:115	47	ENSG00000131473
ACMSD	HGNC:19288	130013	ENSG00000153086
ACO1	HGNC:117	48	ENSG00000122729
ACOD1	HGNC:33904	730249	ENSG00000102794
ACOT1	HGNC:33128	641371	ENSG00000184227
ACOT2	HGNC:18431	10965	ENSG00000119673
ACOT4	HGNC:19748	122970	ENSG00000177465
ACOT6	HGNC:33159	641372	ENSG00000205669
ACOT7	HGNC:24157	11332	ENSG00000097021
ACOT8	HGNC:15919	10005	ENSG00000101473
ACOT9	HGNC:17152	23597	ENSG00000123130
ACOT11	HGNC:18156	26027	ENSG00000162390
ACOT12	HGNC:24436	134526	ENSG00000172497
ACOT13	HGNC:20999	55856	ENSG00000112304
ACOX3	HGNC:121	8310	ENSG00000087008
ACOXL	HGNC:25621	55289	ENSG00000153093
ACP1	HGNC:122	52	ENSG00000143727
ACP3	HGNC:125	55	ENSG00000014257
ACP6	HGNC:29609	51205	ENSG00000162836
ACP7	HGNC:33781	390928	ENSG00000183760
ACRBP	HGNC:17195	84519	ENSG00000111644
ACRV1	HGNC:127	56	ENSG00000134940
ACSBG1	HGNC:29567	23205	ENSG00000103740
ACSBG2	HGNC:24174	81616	ENSG00000130377
ACSF2	HGNC:26101	80221	ENSG00000167107
ACSL1	HGNC:3569	2180	ENSG00000151726
ACSL3	HGNC:3570	2181	ENSG00000123983
ACSL6	HGNC:16496	23305	ENSG00000164398
ACSM1	HGNC:18049	116285	ENSG00000166743
ACSM2A	HGNC:32017	123876	ENSG00000183747
ACSM2B	HGNC:30931	348158	ENSG00000066813
ACSM3	HGNC:10522	6296	ENSG00000005187
ACSM4	HGNC:32016	341392	ENSG00000215009
ACSM5	HGNC:26060	54988	ENSG00000183549
