rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
1,0.55639,0.55639,novel_candidate,true,266494720f43f410f531b3e0795faabb,52587,NCBIGene:6515,SLC2A3,7739,MONDO:0007739,Huntington disease,5,0.7619047619047619,52,1.852678873386039,0.7878787878787878,0,0,0,0,0,,
2,0.55639,0.55639,novel_candidate,true,fab8c7ef931d8552486c383f3e915965,51583,NCBIGene:3162,HMOX1,9061,MONDO:0009061,cystic fibrosis,4,1.0666666666666667,37,2.414163483419374,0.40217391304347827,0,0,0,0,0,,
3,0.55639,0.55639,novel_candidate,true,36c0c50c3963bb649a9641223d529c19,51917,NCBIGene:4282,MIF,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,36,2.4170558170629293,0.4,0,0,0,0,0,,
4,0.55639,0.55639,novel_candidate,true,036afabaf59f65819f16309beef197e3,50919,NCBIGene:1084,CEACAM3,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,0,0,0,0,0,,
5,0.55639,0.55639,novel_candidate,true,06d8427e5ec92cdd85fe3b5b7d034d0c,51204,NCBIGene:1909,EDNRA,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.3431372549019608,0,0,0,0,0,,
6,0.55639,0.55639,novel_candidate,true,101b910177f78b20312132b07a8cde1b,54191,NCBIGene:51164,DCTN4,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,0,0,0,0,0,,
7,0.55639,0.55639,novel_candidate,true,2f8ad57dea1d4c99c293bd5323a71a89,52605,NCBIGene:6556,SLC11A1,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,0,0,0,0,0,,
8,0.55639,0.55639,novel_candidate,true,436529a28e40f9dd5f3fabfabc3bd1d8,53703,NCBIGene:22802,CLCA4,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,0,0,0,0,0,,
9,0.55639,0.55639,novel_candidate,true,647e140c2aba480dc84eb974f979d927,55272,NCBIGene:115019,SLC26A9,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,0,0,0,0,0,,
10,0.55639,0.55639,novel_candidate,true,725096e55829344ea4f8383555c90fa2,53686,NCBIGene:11254,SLC6A14,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,0,0,0,0,0,,
11,0.55639,0.55639,novel_candidate,true,7d7a34072a563e5759e24dde467db56b,51509,NCBIGene:2947,GSTM3,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,0,0,0,0,0,,
12,0.55639,0.55639,novel_candidate,true,90cff5c36fc0eb5a3990634e4548aada,52036,NCBIGene:4680,CEACAM6,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,0,0,0,0,0,,
23,0.543008,0.543008,novel_candidate,true,89bb5e23dfd3a0ce4e2273639218bb23,54675,NCBIGene:57697,FANCM,9215,MONDO:0009215,Fanconi anemia complementation group A,4,1.3666666666666667,108,3.4891440437365238,0.6708074534161491,0,0,0,0,0,,
24,0.541652,0.541652,novel_candidate,true,16b0a38bba5d5810f3d179a017d2d42f,51057,NCBIGene:1478,CSTF2,10679,MONDO:0010679,Duchenne muscular dystrophy,5,0.008744853858364878,5,0.008744853858364878,0.10638297872340426,0,0,0,0,0,,
26,0.536725,0.536725,novel_candidate,true,37d1ebefb3652709f2fc0a216ee6dcb1,55429,NCBIGene:148789,B3GALNT2,58946,ORPHA:559,Marinesco-Sjögren syndrome,4,0.7242424242424242,22,0.8845168104124898,0.18333333333333332,0,0,0,0,0,,
27,0.536725,0.536725,novel_candidate,true,da09be2f6f20f50e7e9cbd72826b8f8d,55126,NCBIGene:84892,POMGNT2,58946,ORPHA:559,Marinesco-Sjögren syndrome,4,0.7242424242424242,18,0.8659232698219499,0.1782178217821782,0,0,0,0,0,,
