rank,prediction_score,pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard
1,0.979686,95deace3d457557c77d72e649025cf85,55773,NCBIGene:653361,NCF1,9308,MONDO:0009308,"granulomatous disease, chronic, autosomal recessive, cytochrome b-negative",4,0.9,25,2.18616594804168,0.10683760683760683
2,0.969016,c1ccc76c1cc627b790e9260fb1531a6d,53059,NCBIGene:8452,CUL3,13777,MONDO:0013777,pseudohypoaldosteronism type 2B,4,0.4815270935960591,6,0.48458235733872623,0.1935483870967742
3,0.913502,f9a9aadbb95e3d424f45d95789d8d4b2,50884,NCBIGene:959,CD40LG,11735,MONDO:0011735,hyper-IgM syndrome type 3,4,0.9361111111111111,10,0.9980098887808133,0.23809523809523808
4,0.898993,e756ec5df22e77885b5d2f36f0ece0d5,51165,NCBIGene:1788,DNMT3A,7273,MONDO:0007273,pheochromocytoma/paraganglioma syndrome 4,4,0.7,10,1.1260579848522478,0.06896551724137931
5,0.884556,5b6a6a8623280817bc144999e5eb6520,51164,NCBIGene:1786,DNMT1,8062,MONDO:0008062,narcolepsy 1,4,0.53003663003663,6,0.5583634058929146,0.08
6,0.876599,44e990513918da915fff9d3608e4b1a2,54796,NCBIGene:65055,REEP1,15353,MONDO:0015353,"neuronopathy, distal hereditary motor, type 5A",4,0.75,14,0.8903416479084887,0.15217391304347827
7,0.875132,3dcc8e112a7b670ed3d0af3a5773f43b,54796,NCBIGene:65055,REEP1,11091,MONDO:0011091,Charcot-Marie-Tooth disease type 2D,4,0.75,14,0.898585445923484,0.15053763440860216
8,0.870613,339a412bcc0c77928a9b6979af428313,51165,NCBIGene:1788,DNMT3A,8192,MONDO:0008192,pheochromocytoma/paraganglioma syndrome 1,4,0.7,11,1.0851118695640272,0.0738255033557047
9,0.869800,e9e2e109629512e1f584e71cfa78f1fb,53840,NCBIGene:23345,SYNE1,57695,ORPHA:98855,Autosomal recessive Emery-Dreifuss muscular dystrophy,4,0.5948773448773449,38,1.1809471156218199,0.21468926553672316
10,0.866655,6e1cd8402e835c7d9de544dd4eb5ed36,55773,NCBIGene:653361,NCF1,10600,MONDO:0010600,"granulomatous disease, chronic, X-linked",4,0.9,25,2.1884332816852354,0.10330578512396695
11,0.864029,a58462e32e157f94f160fc60eb653b76,52144,NCBIGene:5009,OTC,9376,MONDO:0009376,carbamoyl phosphate synthetase I deficiency disease,4,0.7833333333333333,18,1.0540330286886568,0.29508196721311475
12,0.850449,cd3488d974bbe595a56be1ccaf91abde,52377,NCBIGene:5741,PTH,20798,MONDO:0020798,"hypoparathyroidism, familial isolated, 2",4,0.16970974113831255,5,0.16994240749475742,0.3333333333333333
13,0.849523,2f894205092d51158f28b8f8d121fa77,54658,NCBIGene:57570,TRMT5,58900,ORPHA:552,MODY,4,0.11474354529274437,4,0.11474354529274437,0.06451612903225806
14,0.849234,3d73718a9ed2347ce38992d21a425f7b,55495,NCBIGene:170691,ADAMTS17,13899,MONDO:0013899,Weill-Marchesani syndrome 3,4,0.21624149659863945,11,0.28298866165272035,0.3333333333333333
15,0.843863,88244219254c332d9f4ef5a1404479d4,50964,NCBIGene:1203,CLN5,11144,MONDO:0011144,"ceroid lipofuscinosis, neuronal, 6A",5,0.6970760233918128,9,0.7206413854960695,0.36
16,0.841326,01d77d50489597fa09ec2036610f2d18,55600,NCBIGene:283417,DPY19L2,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1
17,0.841326,08c16f72252879f97e123abd25bcd47e,55096,NCBIGene:84660,CCDC62,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1
18,0.841326,48f133e14be8f2748b92aa4813a7a572,53650,NCBIGene:11055,ZPBP,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1
19,0.841326,5518613c35e17346a8a3a55fa6e54f17,55096,NCBIGene:84660,CCDC62,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1
20,0.841326,83322be595363da4947bfb30d86b2a1a,55513,NCBIGene:199720,GGN,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1
21,0.841326,8dbfef10fac614ee240b644d9e18ac80,55442,NCBIGene:151254,CATSPERT,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1
22,0.841326,8eeac4f707b92ae59adb3beea36426b4,55600,NCBIGene:283417,DPY19L2,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1
23,0.841326,8f14bf404c3e735060fef33a6ddb2c23,55442,NCBIGene:151254,CATSPERT,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1
24,0.841326,9f22b7311b213064452d814860c6ed46,55600,NCBIGene:283417,DPY19L2,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1
25,0.841326,c40257772844a77589cde1ad3694323d,53650,NCBIGene:11055,ZPBP,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1
26,0.841326,d92e4721316790f427b86b4333d2f264,55096,NCBIGene:84660,CCDC62,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1
