rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
2,0.969016,0.242254,same_family_shared_ancestor,false,c1ccc76c1cc627b790e9260fb1531a6d,53059,NCBIGene:8452,CUL3,13777,MONDO:0013777,pseudohypoaldosteronism type 2B,4,0.4815270935960591,6,0.48458235733872623,0.1935483870967742,0,0,0,0,3,,pseudohypoaldosteronism type 2A via pseudohypoaldosteronism type 2 | pseudohypoaldosteronism type 2E via pseudohypoaldosteronism type 2
3,0.913502,0.228376,same_family_shared_ancestor,false,f9a9aadbb95e3d424f45d95789d8d4b2,50884,NCBIGene:959,CD40LG,11735,MONDO:0011735,hyper-IgM syndrome type 3,4,0.9361111111111111,10,0.9980098887808133,0.23809523809523808,0,0,0,0,2,,hyper-IgM syndrome type 1 via hyper-IgM syndrome
14,0.849234,0.212309,same_family_shared_ancestor,false,3d73718a9ed2347ce38992d21a425f7b,55495,NCBIGene:170691,ADAMTS17,13899,MONDO:0013899,Weill-Marchesani syndrome 3,4,0.21624149659863945,11,0.28298866165272035,0.3333333333333333,0,0,0,0,2,,"Weill-Marchesani 4 syndrome, recessive via Weill-Marchesani syndrome"
16,0.841326,0.210332,same_family_shared_ancestor,false,01d77d50489597fa09ec2036610f2d18,55600,NCBIGene:283417,DPY19L2,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 9 via spermatogenic failure
17,0.841326,0.210332,same_family_shared_ancestor,false,08c16f72252879f97e123abd25bcd47e,55096,NCBIGene:84660,CCDC62,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 67 via spermatogenic failure
18,0.841326,0.210332,same_family_shared_ancestor,false,48f133e14be8f2748b92aa4813a7a572,53650,NCBIGene:11055,ZPBP,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 66 via spermatogenic failure
19,0.841326,0.210332,same_family_shared_ancestor,false,5518613c35e17346a8a3a55fa6e54f17,55096,NCBIGene:84660,CCDC62,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 67 via spermatogenic failure
20,0.841326,0.210332,same_family_shared_ancestor,false,83322be595363da4947bfb30d86b2a1a,55513,NCBIGene:199720,GGN,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 69 via spermatogenic failure
21,0.841326,0.210332,same_family_shared_ancestor,false,8dbfef10fac614ee240b644d9e18ac80,55442,NCBIGene:151254,CATSPERT,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 68 via spermatogenic failure
22,0.841326,0.210332,same_family_shared_ancestor,false,8eeac4f707b92ae59adb3beea36426b4,55600,NCBIGene:283417,DPY19L2,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 9 via spermatogenic failure
23,0.841326,0.210332,same_family_shared_ancestor,false,8f14bf404c3e735060fef33a6ddb2c23,55442,NCBIGene:151254,CATSPERT,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 68 via spermatogenic failure
24,0.841326,0.210332,same_family_shared_ancestor,false,9f22b7311b213064452d814860c6ed46,55600,NCBIGene:283417,DPY19L2,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 9 via spermatogenic failure
25,0.841326,0.210332,same_family_shared_ancestor,false,c40257772844a77589cde1ad3694323d,53650,NCBIGene:11055,ZPBP,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 66 via spermatogenic failure
26,0.841326,0.210332,same_family_shared_ancestor,false,d92e4721316790f427b86b4333d2f264,55096,NCBIGene:84660,CCDC62,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 67 via spermatogenic failure
27,0.841326,0.210332,same_family_shared_ancestor,false,e607b2ca7cd3fd2c71bf93493cc8fe19,55513,NCBIGene:199720,GGN,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 69 via spermatogenic failure
28,0.841326,0.210332,same_family_shared_ancestor,false,f8828a41d9b1d19ad38bdfdd4959ef0e,53650,NCBIGene:11055,ZPBP,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 66 via spermatogenic failure
