rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
4,0.898993,0.898993,novel_candidate,true,e756ec5df22e77885b5d2f36f0ece0d5,51165,NCBIGene:1788,DNMT3A,7273,MONDO:0007273,pheochromocytoma/paraganglioma syndrome 4,4,0.7,10,1.1260579848522478,0.06896551724137931,0,0,0,0,0,,
5,0.884556,0.884556,novel_candidate,true,5b6a6a8623280817bc144999e5eb6520,51164,NCBIGene:1786,DNMT1,8062,MONDO:0008062,narcolepsy 1,4,0.53003663003663,6,0.5583634058929146,0.08,0,0,0,0,0,,
7,0.875132,0.875132,novel_candidate,true,3dcc8e112a7b670ed3d0af3a5773f43b,54796,NCBIGene:65055,REEP1,11091,MONDO:0011091,Charcot-Marie-Tooth disease type 2D,4,0.75,14,0.898585445923484,0.15053763440860216,0,0,0,0,0,,
8,0.870613,0.870613,novel_candidate,true,339a412bcc0c77928a9b6979af428313,51165,NCBIGene:1788,DNMT3A,8192,MONDO:0008192,pheochromocytoma/paraganglioma syndrome 1,4,0.7,11,1.0851118695640272,0.0738255033557047,0,0,0,0,0,,
9,0.8698,0.8698,novel_candidate,true,e9e2e109629512e1f584e71cfa78f1fb,53840,NCBIGene:23345,SYNE1,57695,ORPHA:98855,Autosomal recessive Emery-Dreifuss muscular dystrophy,4,0.5948773448773449,38,1.1809471156218199,0.21468926553672316,0,0,0,0,0,,
11,0.864029,0.864029,novel_candidate,true,a58462e32e157f94f160fc60eb653b76,52144,NCBIGene:5009,OTC,9376,MONDO:0009376,carbamoyl phosphate synthetase I deficiency disease,4,0.7833333333333333,18,1.0540330286886568,0.29508196721311475,0,0,0,0,0,,
12,0.850449,0.850449,novel_candidate,true,cd3488d974bbe595a56be1ccaf91abde,52377,NCBIGene:5741,PTH,20798,MONDO:0020798,"hypoparathyroidism, familial isolated, 2",4,0.16970974113831255,5,0.16994240749475742,0.3333333333333333,0,0,0,0,0,,
13,0.849523,0.849523,novel_candidate,true,2f894205092d51158f28b8f8d121fa77,54658,NCBIGene:57570,TRMT5,58900,ORPHA:552,MODY,4,0.11474354529274437,4,0.11474354529274437,0.06451612903225806,0,0,0,0,0,,
33,0.834231,0.834231,novel_candidate,true,52ff2b5a9a1dea712e3886e571671a7a,53840,NCBIGene:23345,SYNE1,57682,ORPHA:98863,X-linked Emery-Dreifuss muscular dystrophy,4,0.5948773448773449,42,1.2401044126504879,0.23728813559322035,0,0,0,0,0,,
34,0.831272,0.831272,novel_candidate,true,47a0b7418b52a8990ad441d0d70b96c7,52397,NCBIGene:5828,PEX2,8954,MONDO:0008954,peroxisome biogenesis disorder 2A (Zellweger),4,1.1666666666666667,37,1.4126152078347154,0.1574468085106383,0,0,0,0,0,,
38,0.791035,0.791035,novel_candidate,true,b9b335d063e164bfae9b672f7c03a52b,51241,NCBIGene:2056,EPO,24805,MONDO:0054802,"erythrocytosis, familial, 7",4,0.22822062698538131,4,0.22822062698538131,0.4444444444444444,0,0,0,0,0,,
45,0.780777,0.780777,novel_candidate,true,8665099c5107df498bc995dae995b048,51241,NCBIGene:2056,EPO,24804,MONDO:0054801,"erythrocytosis, familial, 6",4,0.22822062698538131,4,0.22822062698538131,0.4444444444444444,0,0,0,0,0,,
48,0.756662,0.756662,novel_candidate,true,9e94a673d1b78fff8b04fee307e911ae,51026,NCBIGene:1387,CREBBP,58427,ORPHA:353284,Rubinstein-Taybi syndrome due to EP300 haploinsufficiency,4,1.5,123,7.434216246072556,0.2679738562091503,0,0,0,0,0,,
51,0.750027,0.750027,novel_candidate,true,13331d231d3c52d09c575fed951d5320,50635,NCBIGene:213,ALB,26715,MONDO:0859354,"thyroid hormone metabolism, abnormal, 3",4,1.075,5,1.0754653327128898,0.10638297872340426,0,0,0,0,0,,
52,0.750006,0.750006,novel_candidate,true,1c874da7f7deee095dff866a8f487685,54955,NCBIGene:80336,PABPC1L,26755,MONDO:0859521,oocyte maturation defect 14,4,0.5211583508414513,4,0.5211583508414513,0.5714285714285714,0,0,0,0,0,,
54,0.74557,0.74557,novel_candidate,true,ff19e3ca634c024bc48e19629223a1f8,54855,NCBIGene:79641,ROGDI,58115,ORPHA:1031,Enamel-renal syndrome,4,0.18875162777601803,4,0.18875162777601803,0.06896551724137931,0,0,0,0,0,,
56,0.736064,0.736064,novel_candidate,true,d567dbe69cd897dbd628f05c989642bf,55668,NCBIGene:340990,OTOG,13984,MONDO:0013984,autosomal recessive nonsyndromic hearing loss 84B,4,0.14501232970303013,4,0.14501232970303013,0.8,0,0,0,0,0,,
61,0.718974,0.718974,novel_candidate,true,d35948ffc7619374276bf1138e2b0e2b,52588,NCBIGene:6519,SLC3A1,9388,MONDO:0009388,hyperlysinemia,4,0.9159090909090909,7,0.9176790294805397,0.11666666666666667,0,0,0,0,0,,
62,0.708428,0.708428,novel_candidate,true,4f38c5c179265e0e6fe3e48924fedf1f,54955,NCBIGene:80336,PABPC1L,21338,MONDO:0021575,oocyte maturation defect 4,4,0.22115835084145138,4,0.22115835084145138,0.5714285714285714,0,0,0,0,0,,
63,0.707281,0.707281,novel_candidate,true,a75beca1a804a279a0ec8c914e659bca,54899,NCBIGene:79875,THSD4,56553,ORPHA:229,Familial aortic dissection,4,1.0595238095238095,19,1.5663314356147182,0.3220338983050847,0,0,0,0,0,,
65,0.703988,0.703988,novel_candidate,true,765bfb83e3b5eaa561762e175cbb5592,55113,NCBIGene:84790,TUBA1C,26695,MONDO:0859330,oocyte maturation defect 13,4,0.16401549369859422,4,0.16401549369859422,0.8,0,0,0,0,0,,
68,0.691377,0.691377,novel_candidate,true,a9c6d977ef8db12a29b27a9157e0b811,55345,NCBIGene:128637,TBC1D20,8300,MONDO:0008300,Prader-Willi syndrome,4,0.24237980216241087,21,0.3167684902575622,0.084,0,0,0,0,0,,
70,0.685674,0.685674,novel_candidate,true,e4646aebb294257464695b9fac75eb11,51898,NCBIGene:4191,MDH2,7273,MONDO:0007273,pheochromocytoma/paraganglioma syndrome 4,4,0.7,10,1.1728535353535354,0.11235955056179775,0,0,0,0,0,,
73,0.671433,0.671433,novel_candidate,true,52bcbf83193e70b21935944592cc5ebf,53118,NCBIGene:8710,SERPINB7,59435,ORPHA:2199,Epidermolytic palmoplantar keratoderma,4,0.07724718083830166,4,0.07724718083830166,0.16,0,0,0,0,0,,
75,0.6607,0.6607,novel_candidate,true,11b61241483cf80640987c5d4e889d44,54532,NCBIGene:55851,PSENEN,22288,MONDO:0024534,Dowling-Degos disease 1,7,5.583333333333333,26,6.637185731869475,0.7647058823529411,0,0,0,0,0,,
80,0.652871,0.652871,novel_candidate,true,e7efd2e79c9d17e3be81c4587aff39dd,54955,NCBIGene:80336,PABPC1L,26695,MONDO:0859330,oocyte maturation defect 13,4,0.16401549369859422,4,0.16401549369859422,0.5714285714285714,0,0,0,0,0,,
89,0.641994,0.641994,novel_candidate,true,2b9529b3b2664aa7a49c89ee1dd4ccf7,54346,NCBIGene:54806,AHI1,19200,MONDO:0019200,retinitis pigmentosa,4,2.253968253968254,32,2.785966332629701,0.2191780821917808,0,0,0,0,0,,
94,0.63384,0.63384,novel_candidate,true,46cec5ddf0533e3d9fdd78f1afc8f66e,51164,NCBIGene:1786,DNMT1,58987,ORPHA:2073,Narcolepsy type 1,4,0.53003663003663,7,0.5718574374094234,0.07526881720430108,0,0,0,0,0,,
95,0.631755,0.631755,novel_candidate,true,b058ef7f346d02159d2a4214ea272087,54326,NCBIGene:54585,LZTFL1,7804,MONDO:0007804,Pallister-Hall syndrome,4,0.9928571428571429,23,1.089668537008632,0.08394160583941605,0,0,0,0,0,,
96,0.631584,0.631584,novel_candidate,true,64b423da9ec6b9977b208294963ab45e,51793,NCBIGene:3892,KRT86,20717,MONDO:0020717,autosomal dominant wooly hair,4,0.12056168728783691,5,0.12083618632709027,0.16666666666666666,0,0,0,0,0,,
98,0.625833,0.625833,novel_candidate,true,00b61a5228e60fdde33dfafd93b76f3d,55691,NCBIGene:348938,NIPAL4,56443,ORPHA:79395,Keratoderma hereditarium mutilans with ichthyosis,4,0.2674029920523609,8,0.3152976185564478,0.14035087719298245,0,0,0,0,0,,
100,0.617606,0.617606,novel_candidate,true,2dd9ea1e83686ae42c45ea63a4bcfcc6,51898,NCBIGene:4191,MDH2,8192,MONDO:0008192,pheochromocytoma/paraganglioma syndrome 1,4,0.7,10,1.084288372446267,0.10638297872340426,0,0,0,0,0,,
101,0.617398,0.617398,novel_candidate,true,7822ec7eb779bbbe5601397b1d18c58c,52665,NCBIGene:6697,SPR,56917,ORPHA:1578,Pterin-4 alpha-carbinolamine dehydratase deficiency,4,0.8916666666666667,7,0.9144305577458866,0.11864406779661017,0,0,0,0,0,,
104,0.606245,0.606245,novel_candidate,true,ecb9fef72dfe4e8cdf07af606cdabbbb,51067,NCBIGene:1500,CTNND1,14772,MONDO:0014772,orofacial cleft 15,4,0.6707606119370825,6,0.6727073517790114,0.13333333333333333,0,0,0,0,0,,
107,0.589067,0.589067,novel_candidate,true,32106d276f8158c780ae8ddb35431c2b,52366,NCBIGene:5698,PSMB9,23597,MONDO:0033557,"hemophagocytic lymphohistiocytosis, familial, 6",4,1.6666666666666667,9,1.7116195351897956,0.14516129032258066,0,0,0,0,0,,
108,0.587641,0.587641,novel_candidate,true,031beb86eb04ef47165de2b8c930bc42,53118,NCBIGene:8710,SERPINB7,56443,ORPHA:79395,Keratoderma hereditarium mutilans with ichthyosis,4,0.07957340626062236,4,0.07957340626062236,0.14814814814814814,0,0,0,0,0,,
109,0.587065,0.587065,novel_candidate,true,6fbc857612d70a7664ac9da0823b8854,53578,NCBIGene:10659,CELF2,59274,ORPHA:289266,Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,4,0.48596491228070177,10,0.5190671434841359,0.11363636363636363,0,0,0,0,0,,
112,0.57662,0.57662,novel_candidate,true,26b10a6ca275c26fd9ef529aa803778a,53348,NCBIGene:9711,RUBCN,58617,ORPHA:1175,X-linked progressive cerebellar ataxia,4,0.08546651889043193,6,0.08855571590371582,0.11764705882352941,0,0,0,0,0,,
113,0.573789,0.573789,novel_candidate,true,2092e76c122561e85e5687649914d070,51735,NCBIGene:3745,KCNB1,59274,ORPHA:289266,Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,4,0.48596491228070177,10,0.5030648124818048,0.12048192771084337,0,0,0,0,0,,
116,0.558787,0.558787,novel_candidate,true,0b71fe12803d8b9129838898982c322d,53417,NCBIGene:10013,HDAC6,7983,MONDO:0007983,Schmid metaphyseal chondrodysplasia,4,1.9059782608695652,6,1.9262431429765525,0.058823529411764705,0,0,0,0,0,,
120,0.554644,0.554644,novel_candidate,true,a6861993e8ba65d9cfbc8d70f49b1c49,55128,NCBIGene:84896,ATAD1,58452,ORPHA:1901,Dermatosparaxis Ehlers-Danlos syndrome,4,0.08798053601746302,8,0.10277478866612853,0.11267605633802817,0,0,0,0,0,,
122,0.549433,0.549433,novel_candidate,true,10c948dfb3341fe2a87fdda662332726,54642,NCBIGene:57502,NLGN4X,10321,MONDO:0010321,"autism, susceptibility to, X-linked 1",4,0.7927350427350427,14,1.0372897314065235,0.4375,0,0,0,0,0,,
124,0.54511,0.54511,novel_candidate,true,dd6fde837d02978bdcb2c2dbfc10912b,53118,NCBIGene:8710,SERPINB7,56657,ORPHA:79501,Punctate palmoplantar keratoderma type 1,4,0.07957340626062236,4,0.07957340626062236,0.11428571428571428,0,0,0,0,0,,
126,0.544517,0.544517,novel_candidate,true,75962629e0f144775b705e5488787844,52965,NCBIGene:7818,DAP3,56818,ORPHA:572333,Blepharophimosis-ptosis-epicanthus inversus syndrome plus,4,0.08690705128205128,4,0.08690705128205128,0.0784313725490196,0,0,0,0,0,,
