rank,prediction_score,pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard
1,0.999630,5a69ee9d14a894c245e74cce8d798df2,55096,NCBIGene:84660,CCDC62,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,1
2,0.999630,75e958eb42d4ea20625ffb64900fd6b5,55513,NCBIGene:199720,GGN,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,1
3,0.999630,a6678765cf7940fcbaf6a20272a64a68,53650,NCBIGene:11055,ZPBP,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,1
4,0.999630,ee88812fe4b3d21041e648aba08d9d3d,55442,NCBIGene:151254,CATSPERT,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,1
5,0.999276,c1ccc76c1cc627b790e9260fb1531a6d,53059,NCBIGene:8452,CUL3,13777,MONDO:0013777,pseudohypoaldosteronism type 2B,4,0.4815270935960591,6,0.48458235733872623,0.1935483870967742
6,0.998881,01d77d50489597fa09ec2036610f2d18,55600,NCBIGene:283417,DPY19L2,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1
7,0.998881,08c16f72252879f97e123abd25bcd47e,55096,NCBIGene:84660,CCDC62,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1
8,0.998881,48f133e14be8f2748b92aa4813a7a572,53650,NCBIGene:11055,ZPBP,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1
9,0.998881,5518613c35e17346a8a3a55fa6e54f17,55096,NCBIGene:84660,CCDC62,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1
10,0.998881,83322be595363da4947bfb30d86b2a1a,55513,NCBIGene:199720,GGN,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1
11,0.998881,8dbfef10fac614ee240b644d9e18ac80,55442,NCBIGene:151254,CATSPERT,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1
12,0.998881,8eeac4f707b92ae59adb3beea36426b4,55600,NCBIGene:283417,DPY19L2,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1
13,0.998881,8f14bf404c3e735060fef33a6ddb2c23,55442,NCBIGene:151254,CATSPERT,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1
14,0.998881,9f22b7311b213064452d814860c6ed46,55600,NCBIGene:283417,DPY19L2,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1
15,0.998881,c40257772844a77589cde1ad3694323d,53650,NCBIGene:11055,ZPBP,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1
16,0.998881,d92e4721316790f427b86b4333d2f264,55096,NCBIGene:84660,CCDC62,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1
17,0.998881,e607b2ca7cd3fd2c71bf93493cc8fe19,55513,NCBIGene:199720,GGN,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1
18,0.998881,f8828a41d9b1d19ad38bdfdd4959ef0e,53650,NCBIGene:11055,ZPBP,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1
19,0.998881,fa613e99c2a710ce2786ab0e245cf89a,55600,NCBIGene:283417,DPY19L2,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1
20,0.998881,fcbc5fb059734d7871c637518758f249,55513,NCBIGene:199720,GGN,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1
21,0.998881,fdc9e06a79b2bacb8e6b89384bffa33d,55442,NCBIGene:151254,CATSPERT,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1
22,0.998865,e1f8a5968e827693af545f3e1aba4b1c,50659,NCBIGene:284,ANGPT1,22548,MONDO:0025713,"angioedema, hereditary, 7",6,1.047893546658301,6,1.047893546658301,0.8571428571428571
23,0.998763,5b01b561cbb785f8d48cb533b01fc483,53989,NCBIGene:26249,KLHL3,13777,MONDO:0013777,pseudohypoaldosteronism type 2B,6,0.48430785829947287,6,0.48430785829947287,0.75
24,0.998730,5c6561689dca4108c5dd8661b9fcdfbb,55307,NCBIGene:122481,AK7,24767,MONDO:0054723,spermatogenic failure 19,7,0.09941552878770106,7,0.09941552878770106,0.875
25,0.998730,6e10dc281c68246de3b03f700f852b34,55398,NCBIGene:144406,CFAP251,24767,MONDO:0054723,spermatogenic failure 19,7,0.09941552878770106,7,0.09941552878770106,0.875
26,0.998672,26bc9ecc7fbcc442f88b7f9575c2c876,55041,NCBIGene:84074,QRICH2,24768,MONDO:0054724,spermatogenic failure 20,6,0.08302208616475025,6,0.08302208616475025,0.8571428571428571
27,0.998672,f764dd55199897bc6c9636b03d623015,53556,NCBIGene:10566,AKAP3,24768,MONDO:0054724,spermatogenic failure 20,6,0.08302208616475025,6,0.08302208616475025,0.8571428571428571
28,0.998577,8351235120e78279db8f383a0501c425,50791,NCBIGene:676,BRDT,14961,MONDO:0014961,spermatogenic failure 16,5,0.149899971602054,5,0.149899971602054,1
29,0.998449,11c6af55fb616dd7b0cc9df3747ebeed,50866,NCBIGene:881,CCIN,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,0.5
30,0.998447,a90f4f37abdd4ccefc5f4485d2dd01e6,52038,NCBIGene:4688,NCF2,9309,MONDO:0009309,"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 1",6,1.2666666666666666,25,2.18616594804168,0.4032258064516129
31,0.998351,b9b335d063e164bfae9b672f7c03a52b,51241,NCBIGene:2056,EPO,24805,MONDO:0054802,"erythrocytosis, familial, 7",4,0.22822062698538131,4,0.22822062698538131,0.4444444444444444
32,0.998345,540693db88cde5d26d97913cadff5d4e,55307,NCBIGene:122481,AK7,23262,MONDO:0032686,spermatogenic failure 35,7,0.2258792290218931,7,0.2258792290218931,0.875
33,0.998327,b5a5d144feb94be2791b9ecc76af4476,54991,NCBIGene:81833,SPACA1,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714
34,0.998240,e4cb059efcb0a58b1a07a8eb6b9fb54b,55397,NCBIGene:144245,ALG10B,13062,MONDO:0013062,long QT syndrome 12,4,0.13098421739084704,6,0.1396620777746382,0.5
35,0.998166,4551e7a26bccd671bae0c3d76cdafeec,55579,NCBIGene:255101,CFAP65,22951,MONDO:0030844,spermatogenic failure 47,6,0.13583036963102474,6,0.13583036963102474,0.8571428571428571
36,0.998165,449c100ad8834f5f0b9a0a938da80021,51156,NCBIGene:1769,DNAH8,22967,MONDO:0030868,spermatogenic failure 49,7,0.10131773583562205,7,0.10131773583562205,0.875
37,0.998083,4c727b2b16e203648e3071eba86d942e,55467,NCBIGene:159686,CFAP58,23650,MONDO:0033671,spermatogenic failure 45,6,0.09772061353346377,6,0.09772061353346377,0.8571428571428571
38,0.998062,256fdafd303fb1fad3b5a441e4b759c9,53407,NCBIGene:9984,THOC1,22717,MONDO:0030058,"hearing loss, autosomal dominant 77",5,0.3526630019030149,5,0.3526630019030149,0.8333333333333334
39,0.997969,47ac5e5e652e2860330f6398924306c9,54566,NCBIGene:56616,DIABLO,23535,MONDO:0033259,"hearing loss, autosomal dominant 72",5,0.020899683743982843,5,0.020899683743982843,0.8333333333333334
40,0.997819,7c2197f19da120e5aa8b6853b908ee17,55320,NCBIGene:124404,SEPTIN12,14037,MONDO:0014037,spermatogenic failure 11,5,0.15075144276468716,5,0.15075144276468716,0.8333333333333334
41,0.997791,6cb868fbf932cbf067539d63709ee26a,55719,NCBIGene:388531,RGS9BP,27100,MONDO:0958180,prolonged electroretinal response suppression 1,5,0.8439568804670624,6,0.8441895468235073,0.6666666666666666
42,0.997736,324ac87191661e895d752328b7f81eea,55564,NCBIGene:222662,LHFPL5,23301,MONDO:0032740,"hearing loss, autosomal recessive 100",5,0.0922361585058063,5,0.0922361585058063,0.8333333333333334
43,0.997702,a3c2ff56ec9cb2b91809e0fe9a348851,55398,NCBIGene:144406,CFAP251,24747,MONDO:0054615,spermatogenic failure 18,8,0.14487007424224652,8,0.14487007424224652,1
44,0.997546,f5dfb3817b524789cc6a7f311524bd04,51077,NCBIGene:1535,CYBA,9309,MONDO:0009309,"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 1",7,1.4333333333333333,25,2.18616594804168,0.5208333333333334
45,0.997268,70c1de89564352b1d5a6a72bb59eb5c6,55481,NCBIGene:165829,GPR156,13984,MONDO:0013984,autosomal recessive nonsyndromic hearing loss 84B,4,0.14501232970303013,4,0.14501232970303013,0.6666666666666666
46,0.996923,dc2ad2a92dd6c7e09884dbb40f50d2de,53622,NCBIGene:10881,ACTL7A,26980,MONDO:0957594,spermatogenic failure 87,4,0.5085065289791032,4,0.5085065289791032,0.5714285714285714
47,0.996867,b97158f133ba343e7994893eea98c21f,53448,NCBIGene:10117,ENAM,14971,MONDO:0014971,"amelogenesis imperfecta, hypomaturation type, IIa6",4,0.19547780062596937,4,0.19547780062596937,0.5
48,0.996740,3b16332bc4ba287ea8cf7e1ae58307d7,53324,NCBIGene:9622,KLK4,14971,MONDO:0014971,"amelogenesis imperfecta, hypomaturation type, IIa6",4,0.17108755672353035,4,0.17108755672353035,0.5714285714285714
49,0.996675,57de5d4557253f8910ca21155218ecd5,55530,NCBIGene:201625,DNAH12,27125,MONDO:0958206,spermatogenic failure 89,8,0.4637444976440957,12,0.48864446924614974,1
50,0.996638,dd672b5d8a33a748bfb2d6a0eddd99f6,53968,NCBIGene:26074,CFAP61,27243,MONDO:0970999,spermatogenic failure 92,7,0.2680167281458344,10,0.2765232571249376,0.9090909090909091
51,0.996638,eeb9448abf97b106587c7fafa4ce64bb,54809,NCBIGene:65975,STK33,27243,MONDO:0970999,spermatogenic failure 92,7,0.2680167281458344,10,0.2765232571249376,0.9090909090909091
52,0.996584,d0afec40fdf724f7a2785e910e29a21b,55512,NCBIGene:199713,NLRP7,27485,MONDO:0979232,oocyte/zygote/embryo maturation arrest 24,4,0.6654777425963867,5,0.6657104089528315,0.5
53,0.996581,9fa6b1cb644fc974dc095a7880ecb9b9,55742,NCBIGene:401024,FSIP2,24775,MONDO:0054731,spermatogenic failure 27,7,0.24204000528839906,8,0.24227267164484392,0.8888888888888888
54,0.996562,1c874da7f7deee095dff866a8f487685,54955,NCBIGene:80336,PABPC1L,26755,MONDO:0859521,oocyte maturation defect 14,4,0.5211583508414513,4,0.5211583508414513,0.5714285714285714
55,0.996551,9a2f948a928de2bc12f4c55c9dfb9349,55742,NCBIGene:401024,FSIP2,24747,MONDO:0054615,spermatogenic failure 18,7,0.14463740788580165,8,0.14487007424224652,0.8888888888888888
56,0.996551,b80783dbfaeae832a7d6772266e0c4c9,55742,NCBIGene:401024,FSIP2,22665,MONDO:0029147,spermatogenic failure 33,7,0.14463740788580165,8,0.14487007424224652,0.8888888888888888
57,0.996486,302c7861e4680f78e919555cb9399584,55742,NCBIGene:401024,FSIP2,23453,MONDO:0032898,spermatogenic failure 43,5,0.21653556622463796,6,0.21676823258108283,0.6666666666666666
58,0.996414,8665099c5107df498bc995dae995b048,51241,NCBIGene:2056,EPO,24804,MONDO:0054801,"erythrocytosis, familial, 6",4,0.22822062698538131,4,0.22822062698538131,0.4444444444444444
59,0.996398,2ac3caeb7f9bee3a40bd679b191994d5,54941,NCBIGene:80217,CFAP43,24768,MONDO:0054724,spermatogenic failure 20,4,0.0810945045540681,6,0.08302208616475025,0.42857142857142855
60,0.996373,5fd645069c55483a5a8325c906026a30,53968,NCBIGene:26074,CFAP61,27244,MONDO:0971000,spermatogenic failure 93,8,0.31347127360037985,11,0.32197780257948305,1
61,0.996373,82c67c71f88ab8d2de890a6f18b1d4de,54809,NCBIGene:65975,STK33,26889,MONDO:0957301,spermatogenic failure 84,8,0.31347127360037985,11,0.32197780257948305,1
