rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
1,0.99963,0.249908,same_family_shared_ancestor,false,5a69ee9d14a894c245e74cce8d798df2,55096,NCBIGene:84660,CCDC62,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 67 via spermatogenic failure
2,0.99963,0.249908,same_family_shared_ancestor,false,75e958eb42d4ea20625ffb64900fd6b5,55513,NCBIGene:199720,GGN,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 69 via spermatogenic failure
3,0.99963,0.249908,same_family_shared_ancestor,false,a6678765cf7940fcbaf6a20272a64a68,53650,NCBIGene:11055,ZPBP,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 66 via spermatogenic failure
4,0.99963,0.249908,same_family_shared_ancestor,false,ee88812fe4b3d21041e648aba08d9d3d,55442,NCBIGene:151254,CATSPERT,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 68 via spermatogenic failure
5,0.999276,0.249819,same_family_shared_ancestor,false,c1ccc76c1cc627b790e9260fb1531a6d,53059,NCBIGene:8452,CUL3,13777,MONDO:0013777,pseudohypoaldosteronism type 2B,4,0.4815270935960591,6,0.48458235733872623,0.1935483870967742,0,0,0,0,3,,pseudohypoaldosteronism type 2A via pseudohypoaldosteronism type 2 | pseudohypoaldosteronism type 2E via pseudohypoaldosteronism type 2
6,0.998881,0.24972,same_family_shared_ancestor,false,01d77d50489597fa09ec2036610f2d18,55600,NCBIGene:283417,DPY19L2,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 9 via spermatogenic failure
7,0.998881,0.24972,same_family_shared_ancestor,false,08c16f72252879f97e123abd25bcd47e,55096,NCBIGene:84660,CCDC62,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 67 via spermatogenic failure
8,0.998881,0.24972,same_family_shared_ancestor,false,48f133e14be8f2748b92aa4813a7a572,53650,NCBIGene:11055,ZPBP,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 66 via spermatogenic failure
9,0.998881,0.24972,same_family_shared_ancestor,false,5518613c35e17346a8a3a55fa6e54f17,55096,NCBIGene:84660,CCDC62,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 67 via spermatogenic failure
10,0.998881,0.24972,same_family_shared_ancestor,false,83322be595363da4947bfb30d86b2a1a,55513,NCBIGene:199720,GGN,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 69 via spermatogenic failure
11,0.998881,0.24972,same_family_shared_ancestor,false,8dbfef10fac614ee240b644d9e18ac80,55442,NCBIGene:151254,CATSPERT,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 68 via spermatogenic failure
12,0.998881,0.24972,same_family_shared_ancestor,false,8eeac4f707b92ae59adb3beea36426b4,55600,NCBIGene:283417,DPY19L2,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 9 via spermatogenic failure
13,0.998881,0.24972,same_family_shared_ancestor,false,8f14bf404c3e735060fef33a6ddb2c23,55442,NCBIGene:151254,CATSPERT,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 68 via spermatogenic failure
14,0.998881,0.24972,same_family_shared_ancestor,false,9f22b7311b213064452d814860c6ed46,55600,NCBIGene:283417,DPY19L2,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 9 via spermatogenic failure
15,0.998881,0.24972,same_family_shared_ancestor,false,c40257772844a77589cde1ad3694323d,53650,NCBIGene:11055,ZPBP,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 66 via spermatogenic failure
16,0.998881,0.24972,same_family_shared_ancestor,false,d92e4721316790f427b86b4333d2f264,55096,NCBIGene:84660,CCDC62,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 67 via spermatogenic failure
17,0.998881,0.24972,same_family_shared_ancestor,false,e607b2ca7cd3fd2c71bf93493cc8fe19,55513,NCBIGene:199720,GGN,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 69 via spermatogenic failure
18,0.998881,0.24972,same_family_shared_ancestor,false,f8828a41d9b1d19ad38bdfdd4959ef0e,53650,NCBIGene:11055,ZPBP,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 66 via spermatogenic failure
19,0.998881,0.24972,same_family_shared_ancestor,false,fa613e99c2a710ce2786ab0e245cf89a,55600,NCBIGene:283417,DPY19L2,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 9 via spermatogenic failure
20,0.998881,0.24972,same_family_shared_ancestor,false,fcbc5fb059734d7871c637518758f249,55513,NCBIGene:199720,GGN,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 69 via spermatogenic failure
21,0.998881,0.24972,same_family_shared_ancestor,false,fdc9e06a79b2bacb8e6b89384bffa33d,55442,NCBIGene:151254,CATSPERT,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 68 via spermatogenic failure
22,0.998865,0.249716,same_family_shared_ancestor,false,e1f8a5968e827693af545f3e1aba4b1c,50659,NCBIGene:284,ANGPT1,22548,MONDO:0025713,"angioedema, hereditary, 7",6,1.047893546658301,6,1.047893546658301,0.8571428571428571,0,0,0,0,2,,"angioedema, hereditary, 5 via angioedema"
