rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
31,0.998351,0.998351,novel_candidate,true,b9b335d063e164bfae9b672f7c03a52b,51241,NCBIGene:2056,EPO,24805,MONDO:0054802,"erythrocytosis, familial, 7",4,0.22822062698538131,4,0.22822062698538131,0.4444444444444444,0,0,0,0,0,,
38,0.998062,0.998062,novel_candidate,true,256fdafd303fb1fad3b5a441e4b759c9,53407,NCBIGene:9984,THOC1,22717,MONDO:0030058,"hearing loss, autosomal dominant 77",5,0.3526630019030149,5,0.3526630019030149,0.8333333333333334,0,0,0,0,0,,
41,0.997791,0.997791,novel_candidate,true,6cb868fbf932cbf067539d63709ee26a,55719,NCBIGene:388531,RGS9BP,27100,MONDO:0958180,prolonged electroretinal response suppression 1,5,0.8439568804670624,6,0.8441895468235073,0.6666666666666666,0,0,0,0,0,,
52,0.996584,0.996584,novel_candidate,true,d0afec40fdf724f7a2785e910e29a21b,55512,NCBIGene:199713,NLRP7,27485,MONDO:0979232,oocyte/zygote/embryo maturation arrest 24,4,0.6654777425963867,5,0.6657104089528315,0.5,0,0,0,0,0,,
54,0.996562,0.996562,novel_candidate,true,1c874da7f7deee095dff866a8f487685,54955,NCBIGene:80336,PABPC1L,26755,MONDO:0859521,oocyte maturation defect 14,4,0.5211583508414513,4,0.5211583508414513,0.5714285714285714,0,0,0,0,0,,
58,0.996414,0.996414,novel_candidate,true,8665099c5107df498bc995dae995b048,51241,NCBIGene:2056,EPO,24804,MONDO:0054801,"erythrocytosis, familial, 6",4,0.22822062698538131,4,0.22822062698538131,0.4444444444444444,0,0,0,0,0,,
69,0.995942,0.995942,novel_candidate,true,d567dbe69cd897dbd628f05c989642bf,55668,NCBIGene:340990,OTOG,13984,MONDO:0013984,autosomal recessive nonsyndromic hearing loss 84B,4,0.14501232970303013,4,0.14501232970303013,0.8,0,0,0,0,0,,
77,0.995484,0.995484,novel_candidate,true,e7efd2e79c9d17e3be81c4587aff39dd,54955,NCBIGene:80336,PABPC1L,26695,MONDO:0859330,oocyte maturation defect 13,4,0.16401549369859422,4,0.16401549369859422,0.5714285714285714,0,0,0,0,0,,
82,0.995035,0.995035,novel_candidate,true,4f38c5c179265e0e6fe3e48924fedf1f,54955,NCBIGene:80336,PABPC1L,21338,MONDO:0021575,oocyte maturation defect 4,4,0.22115835084145138,4,0.22115835084145138,0.5714285714285714,0,0,0,0,0,,
83,0.995009,0.995009,novel_candidate,true,cd3488d974bbe595a56be1ccaf91abde,52377,NCBIGene:5741,PTH,20798,MONDO:0020798,"hypoparathyroidism, familial isolated, 2",4,0.16970974113831255,5,0.16994240749475742,0.3333333333333333,0,0,0,0,0,,
114,0.991465,0.991465,novel_candidate,true,765bfb83e3b5eaa561762e175cbb5592,55113,NCBIGene:84790,TUBA1C,26695,MONDO:0859330,oocyte maturation defect 13,4,0.16401549369859422,4,0.16401549369859422,0.8,0,0,0,0,0,,
144,0.960799,0.960799,novel_candidate,true,10c948dfb3341fe2a87fdda662332726,54642,NCBIGene:57502,NLGN4X,10321,MONDO:0010321,"autism, susceptibility to, X-linked 1",4,0.7927350427350427,14,1.0372897314065235,0.4375,0,0,0,0,0,,
153,0.939715,0.939715,novel_candidate,true,01ab77d19869a9424712eb853e7d2bfa,51815,NCBIGene:3953,LEPR,58428,ORPHA:66628,Obesity due to congenital leptin deficiency,5,0.3767768780926676,20,0.6697145637037282,0.5263157894736842,0,0,0,0,0,,
154,0.933423,0.933423,novel_candidate,true,e5ac0e6230f4d0061cf37c61c9ea4422,55560,NCBIGene:221711,SYCP2L,27052,MONDO:0958035,premature ovarian failure 23,6,0.4015449280251912,8,0.40347250963587333,0.8,0,0,0,0,0,,
162,0.892425,0.892425,novel_candidate,true,57cfa8565353ec9c9694ba32fb9f44a3,50765,NCBIGene:610,HCN2,11443,MONDO:0011443,"febrile seizures, familial, 4",6,0.03884333363372414,6,0.03884333363372414,0.8571428571428571,0,0,0,0,0,,
167,0.880322,0.880322,novel_candidate,true,aef521faa93d633e51f0931c3f35ed0f,51945,NCBIGene:4363,ABCC1,26758,MONDO:0859524,"hearing loss, autosomal dominant 86",5,0.3526630019030149,5,0.3526630019030149,0.8333333333333334,0,0,0,0,0,,
170,0.868184,0.868184,novel_candidate,true,161d0b70ea9988c68be572ea9d7135ed,55672,NCBIGene:342618,SLFN14,13304,MONDO:0013304,von Willebrand disease 2,5,0.03311171131506175,5,0.03311171131506175,0.7142857142857143,0,0,0,0,0,,
171,0.86702,0.86702,novel_candidate,true,ce79b1bdad23af1b4e6af352618972e2,54497,NCBIGene:55697,VAC14,8995,MONDO:0008995,Yunis-Varon syndrome,8,5,92,8.869306712388028,0.423963133640553,0,0,0,0,0,,
176,0.85223,0.85223,novel_candidate,true,1c0c5878e6eaea37af2e2129ba25bc16,55598,NCBIGene:283310,OTOGL,13985,MONDO:0013985,autosomal recessive nonsyndromic hearing loss 18B,4,0.14501232970303013,4,0.14501232970303013,0.8,0,0,0,0,0,,
182,0.835476,0.835476,novel_candidate,true,90f640e1f19cb074d5f16572e84922d8,53130,NCBIGene:8787,RGS9,27110,MONDO:0958190,prolonged electroretinal response suppression 2,6,0.8441895468235073,6,0.8441895468235073,0.6666666666666666,0,0,0,0,0,,
200,0.781758,0.781758,novel_candidate,true,abb04b7e2b4200a475c8efbfc01fc4f7,55672,NCBIGene:342618,SLFN14,11136,MONDO:0011136,Quebec platelet disorder,5,0.03311171131506175,5,0.03311171131506175,0.7142857142857143,0,0,0,0,0,,
213,0.717706,0.717706,novel_candidate,true,539a560576ac0284db76ccb5929b8db1,52845,NCBIGene:7234,TRU-TCA1-1,14448,MONDO:0014448,"hyperthyroxinemia, familial dysalbuminemic",4,1.075,5,1.0752326663564449,0.35714285714285715,0,0,0,0,0,,
219,0.705545,0.705545,novel_candidate,true,a75beca1a804a279a0ec8c914e659bca,54899,NCBIGene:79875,THSD4,56553,ORPHA:229,Familial aortic dissection,4,1.0595238095238095,19,1.5663314356147182,0.3220338983050847,0,0,0,0,0,,
222,0.692285,0.692285,novel_candidate,true,140fcb05036f5c723468d974c165541c,52176,NCBIGene:5122,PCSK1,56872,ORPHA:71526,Obesity due to pro-opiomelanocortin deficiency,5,0.5306850012732366,18,0.6871066207177791,0.6,0,0,0,0,0,,
