pair_id,label,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,shared_ratio_to_gene,shared_ratio_to_disease,gene_alias_count,gene_member_count,gene_xref_count,gene_phenotype_count,gene_out_degree,disease_alias_count,disease_member_count,disease_xref_count,disease_phenotype_count,disease_lacks_phenotype_count,disease_in_degree,disease_out_degree,disease_trial_count
490ecfd5431f91b2d891975b4f809740,1,51026,NCBIGene:1387,CREBBP,8393,MONDO:0008393,Rubinstein-Taybi syndrome due to CREBBP mutations,0,0,141,13.291335731192296,0.30718954248366015,0.30718954248366015,1,1,2,0,459,471,12,1,6,141,0,4,143,0
490ecfd5431f91b2d891975b4f809740,1,51026,NCBIGene:1387,CREBBP,8393,MONDO:0008393,Rubinstein-Taybi syndrome due to CREBBP mutations,0,0,141,13.291335731192296,0.30718954248366015,0.30718954248366015,1,1,2,0,459,471,12,1,6,141,0,4,143,0
bbc1de4fb0246b7e70bc78a80c08776c,1,51000,NCBIGene:1312,COMT,58933,ORPHA:567,22q11.2 deletion syndrome,0,0,131,2.6191984655766927,1,1,1,1,2,0,131,134,1,1,0,131,0,9,131,0
fd19d9818d752b66f6cd560a0c820948,1,50702,NCBIGene:421,ARVCF,58933,ORPHA:567,22q11.2 deletion syndrome,0,0,131,2.6191984655766927,1,1,1,1,2,0,131,132,1,1,0,131,0,9,131,0
f98ff414c6740e3353e12ff4bfe28255,1,51026,NCBIGene:1387,CREBBP,58504,ORPHA:353277,Rubinstein-Taybi syndrome due to CREBBP mutations,0,0,122,7.428263865120175,0.2657952069716776,0.2657952069716776,1,1,2,0,459,471,1,1,0,122,0,1,122,0
e76aab0edb28368e422c8be58f8e2b43,1,50789,NCBIGene:673,BRAF,7265,MONDO:0007265,cardiofaciocutaneous syndrome 1,0,0,120,7.816914184469626,0.187207488299532,0.187207488299532,1,1,2,0,641,681,9,1,3,120,0,3,121,1
e76aab0edb28368e422c8be58f8e2b43,1,50789,NCBIGene:673,BRAF,7265,MONDO:0007265,cardiofaciocutaneous syndrome 1,0,0,120,7.816914184469626,0.187207488299532,0.187207488299532,1,1,2,0,641,681,9,1,3,120,0,3,121,1
7ff294f19925dc11a7c29a26111041b0,1,50631,NCBIGene:207,AKT1,57972,ORPHA:744,Proteus syndrome,0,0,115,8.666416601738197,0.3770491803278688,0.3770491803278688,1,1,2,0,305,325,1,1,0,115,0,1,115,0
3d51e16d3fc8f47377a9a3c5748c0213,1,50742,NCBIGene:540,ATP7B,10200,MONDO:0010200,Wilson disease,0,0,106,27.7084810810645,0.6838709677419355,0.8153846153846154,0.8091603053435115,1,2,0,130,133,10,1,15,131,0,9,133,7
3d51e16d3fc8f47377a9a3c5748c0213,1,50742,NCBIGene:540,ATP7B,10200,MONDO:0010200,Wilson disease,0,0,106,27.7084810810645,0.6838709677419355,0.8153846153846154,0.8091603053435115,1,2,0,130,133,10,1,15,131,0,9,133,7
20c45d6f7e67274af0ad2ae44ebd579b,1,50715,NCBIGene:473,RERE,58856,ORPHA:1606,1p36 deletion syndrome,0,0,99,1.3891511349967463,0.4107883817427386,0.4107883817427386,1,1,2,0,241,245,1,1,0,99,0,13,99,0
af3b7873def5e82e0dab4810714cb1fc,1,50774,NCBIGene:641,BLM,8876,MONDO:0008876,Bloom syndrome,0,0,99,9.05907777101077,0.792,0.8839285714285714,0.8839285714285714,1,2,0,112,116,12,1,15,112,0,2,119,0
af3b7873def5e82e0dab4810714cb1fc,1,50774,NCBIGene:641,BLM,8876,MONDO:0008876,Bloom syndrome,0,0,99,9.05907777101077,0.792,0.8839285714285714,0.8839285714285714,1,2,0,112,116,12,1,15,112,0,2,119,0
0e5381b34f2f10ed0d059827cd5f1090,1,50740,NCBIGene:538,ATP7A,10572,MONDO:0010572,occipital horn syndrome,0,0,98,10.822164170470955,0.3904382470119522,0.4224137931034483,0.8376068376068376,1,2,0,232,244,18,1,10,117,0,2,121,0
0e5381b34f2f10ed0d059827cd5f1090,1,50740,NCBIGene:538,ATP7A,10572,MONDO:0010572,occipital horn syndrome,0,0,98,10.822164170470955,0.3904382470119522,0.4224137931034483,0.8376068376068376,1,2,0,232,244,18,1,10,117,0,2,121,0
22e599f89cce817aeb743e877099efbd,1,50756,NCBIGene:583,BBS2,57038,ORPHA:110,Bardet-Biedl syndrome,0,0,95,2.819443395713409,0.5248618784530387,0.5248618784530387,1,1,2,0,181,189,1,1,0,95,0,26,95,0
5640460f1d8169f8177bd35febe65f61,1,50757,NCBIGene:585,BBS4,57038,ORPHA:110,Bardet-Biedl syndrome,0,0,95,2.746433222446824,0.8558558558558559,0.8558558558558559,1,1,2,0,111,116,1,1,0,95,0,26,95,0
82e6f103eeed3a3393e53fe499fd664f,1,50976,NCBIGene:1281,COL3A1,56528,ORPHA:286,Vascular Ehlers-Danlos syndrome,0,0,95,4.559246910357447,0.4222222222222222,0.4222222222222222,1,1,2,0,225,237,1,1,0,95,0,1,95,0
8fe5d049a3029e26b978be8ec422929e,1,50858,NCBIGene:860,RUNX2,7340,MONDO:0007340,cleidocranial dysplasia 1,0,0,95,14.899877366311566,0.6506849315068494,0.7421875,0.8407079646017699,1,2,0,128,134,9,1,11,113,0,2,115,0
8fe5d049a3029e26b978be8ec422929e,1,50858,NCBIGene:860,RUNX2,7340,MONDO:0007340,cleidocranial dysplasia 1,0,0,95,14.899877366311566,0.6506849315068494,0.7421875,0.8407079646017699,1,2,0,128,134,9,1,11,113,0,2,115,0
