rank,prediction_score,pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard
1,0.454402,6ac0408376564a2dd72a6d15fba61f70,52215,NCBIGene:5230,PGK1,9295,MONDO:0009295,glycogen storage disease VII,4,0.2506211180124224,9,0.3163814137596268,0.15
2,0.454402,2ac3d195d4616950f03f5c496c015063,54075,NCBIGene:28981,IFT81,13127,MONDO:0013127,asphyxiating thoracic dystrophy 3,5,0.15872157505498577,8,0.16972687585663143,0.14545454545454545
3,0.454402,6f44beba10e71423b69f97df31e5aa4f,53394,NCBIGene:9922,IQSEC1,10574,MONDO:0010574,syndromic X-linked intellectual disability 5,5,0.012698173763571454,8,0.014127359241588717,0.1509433962264151
4,0.454402,bdf31cb1be5baed27a2f11c8d05e509f,54974,NCBIGene:81562,LMAN2L,10574,MONDO:0010574,syndromic X-linked intellectual disability 5,5,0.00837483636715414,7,0.01021967022506754,0.12962962962962962
5,0.454402,7374a78ecddc6539e5f22bb1b0cf2253,54199,NCBIGene:51206,GP6,9276,MONDO:0009276,Bernard-Soulier syndrome,5,0.3195603856778207,6,0.31979305203426556,0.14634146341463414
6,0.454402,5f4edfc5a642684c091b500f6ec1fd47,52889,NCBIGene:7374,UNG,10626,MONDO:0010626,hyper-IgM syndrome type 1,6,0.2568987776697022,6,0.2568987776697022,0.13043478260869565
7,0.454402,8ade95488dee5aec5c55aeb49ceae274,54629,NCBIGene:57379,AICDA,10626,MONDO:0010626,hyper-IgM syndrome type 1,5,0.2517441384944445,6,0.2568987776697022,0.125
8,0.454402,87b9eb0a8d87b7cdd84887a6e22ffcb4,53474,NCBIGene:10235,RASGRP2,9276,MONDO:0009276,Bernard-Soulier syndrome,5,0.16479848091591595,6,0.1650311472723608,0.15
9,0.454402,f15720efe3091ab2f90801f17868ce9d,54377,NCBIGene:54938,SARS2,8073,MONDO:0008073,familial juvenile hyperuricemic nephropathy type 1,4,0.09970678624383687,6,0.11630202196595388,0.09836065573770492
10,0.454402,77e22e2855b585534891216764b9f3a7,51007,NCBIGene:1337,COX6A1,10549,MONDO:0010549,Charcot-Marie-Tooth disease X-linked dominant 1,5,0.041083692329643165,6,0.04354069478664562,0.13953488372093023
