rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
6,0.454402,0.1136,same_family_shared_ancestor,false,5f4edfc5a642684c091b500f6ec1fd47,52889,NCBIGene:7374,UNG,10626,MONDO:0010626,hyper-IgM syndrome type 1,6,0.2568987776697022,6,0.2568987776697022,0.13043478260869565,0,0,0,0,2,,hyper-IgM syndrome type 5 via hyper-IgM syndrome
7,0.454402,0.1136,same_family_shared_ancestor,false,8ade95488dee5aec5c55aeb49ceae274,54629,NCBIGene:57379,AICDA,10626,MONDO:0010626,hyper-IgM syndrome type 1,5,0.2517441384944445,6,0.2568987776697022,0.125,0,0,0,0,2,,hyper-IgM syndrome type 2 via hyper-IgM syndrome
13,0.454402,0.1136,same_family_shared_ancestor,false,928a3a290bc08053b0d4535f5cf642ac,54209,NCBIGene:51293,CD320,10185,MONDO:0010185,methylmalonic aciduria and homocystinuria type cblD,5,0.1380863180953034,5,0.1380863180953034,0.14285714285714285,0,0,0,0,2,,methylmalonic acidemia due to transcobalamin receptor defect via methylmalonic acidemia
24,0.452696,0.113174,same_family_shared_ancestor,false,f99cd6a1f6721d23903bec9cc871e6e7,51978,NCBIGene:4552,MTRR,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,5,0.6597222222222222,26,0.9380313560043942,0.2222222222222222,0,0,0,0,2,,methylcobalamin deficiency type cblE via homocystinuria
26,0.452696,0.113174,same_family_shared_ancestor,false,8601ede272e56e0a548a4245d2799dbd,51374,NCBIGene:2538,G6PC1,9288,MONDO:0009288,glycogen storage disease Ib,6,0.7117685518143184,25,0.972521234074918,0.36764705882352944,0,0,0,0,2,,glycogen storage disease due to glucose-6-phosphatase deficiency type IA via glycogen storage disease I
27,0.452696,0.113174,same_family_shared_ancestor,false,d4d6d016874a1f5448a91f8bdedfa4ea,51976,NCBIGene:4548,MTR,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,6,0.6204984628897673,21,0.7044588631328896,0.2441860465116279,0,0,0,0,2,,methylcobalamin deficiency type cblG via homocystinuria
32,0.452696,0.113174,same_family_shared_ancestor,false,dbf6ad303ff6f63f9fa5aeb32937b9ac,51545,NCBIGene:3054,HCFC1,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,4,0.22056159420289856,12,0.22629090317523773,0.16,0,0,0,0,2,,"methylmalonic acidemia with homocystinuria, type cblX via methylmalonic aciduria and homocystinuria"
44,0.452696,0.113174,same_family_shared_ancestor,false,cfc586672cb7613fba86e6447d2cb8eb,54209,NCBIGene:51293,CD320,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,6,0.1398194203483363,6,0.1398194203483363,0.08955223880597014,0,0,0,0,2,,methylmalonic acidemia due to transcobalamin receptor defect via methylmalonic acidemia
61,0.449805,0.112451,same_family_shared_ancestor,false,4a77a6de26eeee7261f24245787e90e5,54927,NCBIGene:80155,NAA15,14606,MONDO:0014606,intellectual disability-microcephaly-strabismus-behavioral abnormalities syndrome,8,0.0228825083620114,10,0.023961512630548753,0.047619047619047616,0,0,0,0,2,,"intellectual disability, autosomal dominant 50 via intellectual disability, autosomal dominant"
62,0.449805,0.112451,same_family_shared_ancestor,false,86f8b39694ab5d28c203d76f5862aa3e,54927,NCBIGene:80155,NAA15,14379,MONDO:0014379,ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder,8,0.018478808454526964,10,0.019557812723064318,0.050761421319796954,0,0,0,0,2,,"intellectual disability, autosomal dominant 50 via intellectual disability, autosomal dominant"
