rank	score	gene_symbol	gene_identifier
1.0	0.0101	TBX19	ENSG00000143178
6.0	0.0098	MC2R	ENSG00000185231
6.0	0.0098	MRAP	ENSG00000170262
6.0	0.0098	NNT	ENSG00000112992
6.0	0.0098	STAR	ENSG00000147465
6.0	0.0098	TXNRD2	ENSG00000184470
8.0	0.0092	GATC	ENSG00000257218
8.0	0.0092	QRSL1	ENSG00000130348
10.0	0.0089	POR	ENSG00000127948
10.0	0.0089	PCSK1	ENSG00000175426
11.0	0.0085	HSD3B2	ENSG00000203859
25.0	0.0083	NFKB2	ENSG00000077150
25.0	0.0083	PEX1	ENSG00000127980
25.0	0.0083	PEX10	ENSG00000157911
25.0	0.0083	PEX11B	ENSG00000131779
25.0	0.0083	PEX12	ENSG00000108733
25.0	0.0083	PEX13	ENSG00000162928
25.0	0.0083	PEX14	ENSG00000142655
25.0	0.0083	PEX16	ENSG00000121680
25.0	0.0083	PEX19	ENSG00000162735
25.0	0.0083	PEX2	ENSG00000164751
25.0	0.0083	PEX26	ENSG00000215193
25.0	0.0083	PEX3	ENSG00000034693
25.0	0.0083	PEX5	ENSG00000139197
25.0	0.0083	PEX6	ENSG00000124587
26.0	0.0079	CYP11A1	ENSG00000140459
27.0	0.0068	MPV17	ENSG00000115204
28.0	0.0067	POMC	ENSG00000115138
30.0	0.0066	NR0B1	ENSG00000169297
30.0	0.0066	AAAS	ENSG00000094914
31.0	0.0064	JAG1	ENSG00000101384
32.0	0.0061	CYP17A1	ENSG00000148795
33.0	0.0055	ROBO1	ENSG00000169855
34.0	0.0054	COG4	ENSG00000103051
35.0	0.0052	ABCD1	ENSG00000101986
39.0	0.0051	ALG6	ENSG00000088035
39.0	0.0051	NSD1	ENSG00000165671
39.0	0.0051	DGUOK	ENSG00000114956
39.0	0.0051	ASAH1	ENSG00000104763
45.0	0.005	POLG	ENSG00000140521
45.0	0.005	GALT	ENSG00000213930
45.0	0.005	SC5D	ENSG00000109929
45.0	0.005	NR1H4	ENSG00000012504
45.0	0.005	ITCH	ENSG00000078747
45.0	0.005	HSD3B7	ENSG00000099377
47.0	0.0049	MED12	ENSG00000184634
47.0	0.0049	GATB	ENSG00000059691
49.0	0.0048	TFAM	ENSG00000108064
49.0	0.0048	IARS1	ENSG00000196305
53.0	0.0047	HADHA	ENSG00000084754
53.0	0.0047	SKIC3	ENSG00000198677
53.0	0.0047	AMACR	ENSG00000242110
53.0	0.0047	NBAS	ENSG00000151779
54.0	0.0046	STX5	ENSG00000162236
67.0	0.0045	COG7	ENSG00000168434
67.0	0.0045	AKT1	ENSG00000142208
67.0	0.0045	BAP1	ENSG00000163930
67.0	0.0045	NF2	ENSG00000186575
67.0	0.0045	PDGFB	ENSG00000100311
67.0	0.0045	PIK3CA	ENSG00000121879
67.0	0.0045	SMARCB1	ENSG00000099956
67.0	0.0045	SMARCE1	ENSG00000073584
67.0	0.0045	SMO	ENSG00000128602
67.0	0.0045	SUFU	ENSG00000107882
67.0	0.0045	TERT	ENSG00000164362
67.0	0.0045	TRAF7	ENSG00000131653
67.0	0.0045	HADHB	ENSG00000138029
70.0	0.0044	DLD	ENSG00000091140
70.0	0.0044	MRPS7	ENSG00000125445
70.0	0.0044	MPI	ENSG00000178802
76.0	0.0043	CCDC115	ENSG00000136710
76.0	0.0043	AKR1D1	ENSG00000122787
76.0	0.0043	MARS1	ENSG00000166986
76.0	0.0043	CTCF	ENSG00000102974
76.0	0.0043	SERPINA6	ENSG00000170099
76.0	0.0043	RBM10	ENSG00000182872
78.0	0.0042	CYP7B1	ENSG00000172817
78.0	0.0042	HADH	ENSG00000138796
80.0	0.0041	FOCAD	ENSG00000188352
80.0	0.0041	FUT8	ENSG00000033170
85.0	0.004	SLC2A2	ENSG00000163581
85.0	0.004	INSR	ENSG00000171105
85.0	0.004	ALDOB	ENSG00000136872
85.0	0.004	UBR1	ENSG00000159459
85.0	0.004	IL18BP	ENSG00000137496
92.0	0.0039	LARS1	ENSG00000133706
92.0	0.0039	BMP6	ENSG00000153162
92.0	0.0039	HFE	ENSG00000010704
92.0	0.0039	YARS1	ENSG00000134684
92.0	0.0039	ALG12	ENSG00000182858
92.0	0.0039	APC2	ENSG00000115266
92.0	0.0039	SETD2	ENSG00000181555
93.0	0.0038	SLC25A15	ENSG00000102743
98.0	0.0037	CDKN1C	ENSG00000129757
98.0	0.0037	HMGA2	ENSG00000149948
98.0	0.0037	IGF2	ENSG00000167244
98.0	0.0037	PLAG1	ENSG00000181690
98.0	0.0037	PIGA	ENSG00000165195
104.0	0.0036	FARSB	ENSG00000116120
104.0	0.0036	CPT1A	ENSG00000110090
104.0	0.0036	TFE3	ENSG00000068323
104.0	0.0036	CYP11B1	ENSG00000160882
104.0	0.0036	DEF6	ENSG00000023892
104.0	0.0036	ALG8	ENSG00000159063
108.0	0.0035	CYC1	ENSG00000179091
108.0	0.0035	PCK1	ENSG00000124253
108.0	0.0035	HTRA2	ENSG00000115317
108.0	0.0035	GCSH	ENSG00000140905
116.0	0.0034	EIF2AK3	ENSG00000172071
116.0	0.0034	GBA1	ENSG00000177628
116.0	0.0034	CCDC47	ENSG00000108588
116.0	0.0034	LIPA	ENSG00000107798
116.0	0.0034	IFT172	ENSG00000138002
116.0	0.0034	SLC25A20	ENSG00000178537
116.0	0.0034	DCDC2	ENSG00000146038
116.0	0.0034	SERPINA1	ENSG00000197249
127.0	0.0033	VPS51	ENSG00000149823
127.0	0.0033	H4C3	ENSG00000197061
127.0	0.0033	TRMU	ENSG00000100416
127.0	0.0033	HLA-B	ENSG00000234745
127.0	0.0033	HLA-DRB1	ENSG00000196126
127.0	0.0033	P4HA2	ENSG00000072682
127.0	0.0033	PTPN22	ENSG00000134242
127.0	0.0033	CALR	ENSG00000179218
127.0	0.0033	F5	ENSG00000198734
127.0	0.0033	JAK2	ENSG00000096968
127.0	0.0033	POU1F1	ENSG00000064835
139.0	0.0032	BCS1L	ENSG00000074582
139.0	0.0032	GBE1	ENSG00000114480
139.0	0.0032	FH	ENSG00000091483
139.0	0.0032	NDUFS4	ENSG00000164258
139.0	0.0032	GFM1	ENSG00000168827
139.0	0.0032	ATP7B	ENSG00000123191
139.0	0.0032	PCK2	ENSG00000100889
139.0	0.0032	MICOS13	ENSG00000174917
139.0	0.0032	CC2D2A	ENSG00000048342
139.0	0.0032	INPP5E	ENSG00000148384
139.0	0.0032	RPGRIP1L	ENSG00000103494
139.0	0.0032	TMEM67	ENSG00000164953
147.0	0.0031	MMACHC	ENSG00000132763
147.0	0.0031	NPC1	ENSG00000141458
147.0	0.0031	FAH	ENSG00000103876
147.0	0.0031	GALE	ENSG00000117308
147.0	0.0031	OCLN	ENSG00000197822
147.0	0.0031	POLG2	ENSG00000256525
147.0	0.0031	CPT2	ENSG00000157184
147.0	0.0031	ACAD9	ENSG00000177646
162.0	0.003	GPR35	ENSG00000178623
162.0	0.003	MST1	ENSG00000173531
162.0	0.003	SEMA4D	ENSG00000187764
162.0	0.003	TCF4	ENSG00000196628
162.0	0.003	SLC37A4	ENSG00000137700
162.0	0.003	IL21R	ENSG00000103522
162.0	0.003	ACADVL	ENSG00000072778
162.0	0.003	BAAT	ENSG00000136881
162.0	0.003	PPP2R5D	ENSG00000112640
162.0	0.003	MRPS28	ENSG00000147586
162.0	0.003	PPP1R15B	ENSG00000158615
162.0	0.003	TRMT10A	ENSG00000145331
162.0	0.003	ABCD3	ENSG00000117528
162.0	0.003	CLDN1	ENSG00000163347
162.0	0.003	HYOU1	ENSG00000149428
173.0	0.0029	OSTM1	ENSG00000081087
173.0	0.0029	ACADS	ENSG00000122971
173.0	0.0029	SP110	ENSG00000135899
173.0	0.0029	DDOST	ENSG00000244038
173.0	0.0029	IER3IP1	ENSG00000134049
173.0	0.0029	GALM	ENSG00000143891
173.0	0.0029	ATP6AP1	ENSG00000071553
173.0	0.0029	TRMT10C	ENSG00000174173
173.0	0.0029	LRPPRC	ENSG00000138095
173.0	0.0029	KMT2E	ENSG00000005483
173.0	0.0029	ALG1	ENSG00000033011
197.0	0.0028	SPTBN1	ENSG00000115306
197.0	0.0028	RINT1	ENSG00000135249
197.0	0.0028	MT-ATP6	ENSG00000198899
197.0	0.0028	MT-ND1	ENSG00000198888
197.0	0.0028	MT-ND2	ENSG00000198763
197.0	0.0028	MT-ND3	ENSG00000198840
197.0	0.0028	MT-ND4	ENSG00000198886
197.0	0.0028	MT-ND5	ENSG00000198786
197.0	0.0028	MT-ND6	ENSG00000198695
197.0	0.0028	NAA10	ENSG00000102030
197.0	0.0028	TSHB	ENSG00000134200
197.0	0.0028	PTF1A	ENSG00000168267
197.0	0.0028	SLC7A7	ENSG00000155465
197.0	0.0028	SNIP1	ENSG00000163877
197.0	0.0028	ETFA	ENSG00000140374
197.0	0.0028	ETFB	ENSG00000105379
197.0	0.0028	ETFDH	ENSG00000171503
197.0	0.0028	GLI3	ENSG00000106571
197.0	0.0028	SLC16A2	ENSG00000147100
197.0	0.0028	PAX8	ENSG00000125618
197.0	0.0028	SLC26A4	ENSG00000091137
197.0	0.0028	TSHR	ENSG00000165409
197.0	0.0028	MRPL39	ENSG00000154719
