rank	score	gene_symbol	gene_identifier
1.0	0.0525	DBT	ENSG00000137992
2.0	0.0395	GMPPB	ENSG00000173540
3.0	0.038	GNB1	ENSG00000078369
4.0	0.0351	PHF8	ENSG00000172943
5.0	0.0345	MED12	ENSG00000184634
24.0	0.0343	CDON	ENSG00000064309
24.0	0.0343	CRIPTO	ENSG00000241186
24.0	0.0343	DISP1	ENSG00000154309
24.0	0.0343	DLL1	ENSG00000198719
24.0	0.0343	FGF8	ENSG00000107831
24.0	0.0343	FGFR1	ENSG00000077782
24.0	0.0343	FOXH1	ENSG00000160973
24.0	0.0343	GAS1	ENSG00000180447
24.0	0.0343	GLI2	ENSG00000074047
24.0	0.0343	NODAL	ENSG00000156574
24.0	0.0343	PLCH1	ENSG00000114805
24.0	0.0343	PTCH1	ENSG00000185920
24.0	0.0343	SHH	ENSG00000164690
24.0	0.0343	SIX3	ENSG00000138083
24.0	0.0343	SMC1A	ENSG00000072501
24.0	0.0343	STAG2	ENSG00000101972
24.0	0.0343	STIL	ENSG00000123473
24.0	0.0343	TGIF1	ENSG00000177426
24.0	0.0343	ZIC2	ENSG00000043355
25.0	0.0337	TELO2	ENSG00000100726
38.0	0.0332	ARHGAP29	ENSG00000137962
38.0	0.0332	ARHGEF38	ENSG00000236699
38.0	0.0332	BMP4	ENSG00000125378
38.0	0.0332	CDH1	ENSG00000039068
38.0	0.0332	COBLL1	ENSG00000082438
38.0	0.0332	DLG1	ENSG00000075711
38.0	0.0332	DLX4	ENSG00000108813
38.0	0.0332	IRF6	ENSG00000117595
38.0	0.0332	MSX1	ENSG00000163132
38.0	0.0332	NECTIN1	ENSG00000110400
38.0	0.0332	PDGFRA	ENSG00000134853
38.0	0.0332	RIC1	ENSG00000107036
38.0	0.0332	TP63	ENSG00000073282
39.0	0.0326	XYLT1	ENSG00000103489
40.0	0.0302	SELENOI	ENSG00000138018
41.0	0.03	SPECC1L	ENSG00000100014
42.0	0.0292	EIF2S3	ENSG00000130741
43.0	0.0291	EFNB1	ENSG00000090776
49.0	0.0284	ARNT2	ENSG00000172379
49.0	0.0284	HESX1	ENSG00000163666
49.0	0.0284	OTX2	ENSG00000165588
49.0	0.0284	PROKR2	ENSG00000101292
49.0	0.0284	SOX2	ENSG00000181449
49.0	0.0284	SOX3	ENSG00000134595
51.0	0.0282	COLEC10	ENSG00000184374
51.0	0.0282	POMT1	ENSG00000130714
52.0	0.0281	BCOR	ENSG00000183337
53.0	0.0271	HNRNPK	ENSG00000165119
54.0	0.0265	PDZD8	ENSG00000165650
55.0	0.0263	SH2B1	ENSG00000178188
56.0	0.026	PGAP3	ENSG00000161395
70.0	0.0258	B3GALNT2	ENSG00000162885
70.0	0.0258	B4GAT1	ENSG00000174684
70.0	0.0258	COL4A1	ENSG00000187498
70.0	0.0258	CRPPA	ENSG00000214960
70.0	0.0258	DAG1	ENSG00000173402
70.0	0.0258	FKRP	ENSG00000181027
70.0	0.0258	FKTN	ENSG00000106692
70.0	0.0258	LARGE1	ENSG00000133424
70.0	0.0258	POMGNT1	ENSG00000085998
70.0	0.0258	POMGNT2	ENSG00000144647
70.0	0.0258	POMK	ENSG00000185900
70.0	0.0258	POMT2	ENSG00000009830
70.0	0.0258	RXYLT1	ENSG00000118600
70.0	0.0258	FBXO11	ENSG00000138081
72.0	0.0256	NEDD4L	ENSG00000049759
72.0	0.0256	SATB2	ENSG00000119042
73.0	0.0254	NUP107	ENSG00000111581
76.0	0.0252	KDM6A	ENSG00000147050
76.0	0.0252	EARS2	ENSG00000103356
76.0	0.0252	CPLX1	ENSG00000168993
77.0	0.0248	ZSWIM6	ENSG00000130449
78.0	0.0246	PIEZO2	ENSG00000154864
79.0	0.0245	MEGF10	ENSG00000145794
80.0	0.0243	PIGO	ENSG00000165282
81.0	0.024	CEP290	ENSG00000198707
83.0	0.0239	PGAP2	ENSG00000148985
83.0	0.0239	ACTB	ENSG00000075624
85.0	0.0236	MBTPS2	ENSG00000012174
85.0	0.0236	CHSY1	ENSG00000131873
88.0	0.0235	NPHP1	ENSG00000144061
88.0	0.0235	RPGRIP1L	ENSG00000103494
88.0	0.0235	TMEM237	ENSG00000155755
89.0	0.0232	NBN	ENSG00000104320
90.0	0.0231	AMER1	ENSG00000184675
91.0	0.023	ZEB2	ENSG00000169554
