rank	score	gene_symbol	gene_identifier
1.0	0.0086	ATRX	ENSG00000085224
2.0	0.0073	TAF1	ENSG00000147133
3.0	0.0062	WAC	ENSG00000095787
4.0	0.0059	KANSL1	ENSG00000120071
5.0	0.0055	SMARCA2	ENSG00000080503
6.0	0.0053	EBF3	ENSG00000108001
10.0	0.0052	BICRA	ENSG00000063169
10.0	0.0052	ADNP	ENSG00000101126
10.0	0.0052	MAP1B	ENSG00000131711
10.0	0.0052	NRCAM	ENSG00000091129
12.0	0.0051	DYRK1A	ENSG00000157540
12.0	0.0051	H4C5	ENSG00000198518
13.0	0.0049	EXT2	ENSG00000151348
14.0	0.0048	GNB2	ENSG00000172354
16.0	0.0047	CDC42BPB	ENSG00000198752
16.0	0.0047	SIN3A	ENSG00000169375
17.0	0.0046	JARID2	ENSG00000008083
18.0	0.0045	DHX30	ENSG00000132153
19.0	0.0044	USP9X	ENSG00000124486
20.0	0.0043	SPEN	ENSG00000065526
22.0	0.0042	CDK13	ENSG00000065883
22.0	0.0042	POLR1A	ENSG00000068654
23.0	0.0041	TRIO	ENSG00000038382
24.0	0.004	SPTBN1	ENSG00000115306
28.0	0.0039	ATP6V1B2	ENSG00000147416
28.0	0.0039	TBC1D24	ENSG00000162065
28.0	0.0039	POGZ	ENSG00000143442
28.0	0.0039	LIFR	ENSG00000113594
31.0	0.0038	KMT2A	ENSG00000118058
31.0	0.0038	UBAP2L	ENSG00000143569
31.0	0.0038	CLCN3	ENSG00000109572
34.0	0.0037	MED12L	ENSG00000144893
34.0	0.0037	RPL10	ENSG00000147403
34.0	0.0037	TCF4	ENSG00000196628
38.0	0.0036	DHCR7	ENSG00000172893
38.0	0.0036	CTCF	ENSG00000102974
38.0	0.0036	MBD5	ENSG00000204406
38.0	0.0036	CREBBP	ENSG00000005339
45.0	0.0035	ARID2	ENSG00000189079
45.0	0.0035	TAF4	ENSG00000130699
45.0	0.0035	ASXL3	ENSG00000141431
45.0	0.0035	SON	ENSG00000159140
45.0	0.0035	FAT4	ENSG00000196159
45.0	0.0035	AFF4	ENSG00000072364
45.0	0.0035	ARID1B	ENSG00000049618
62.0	0.0034	TBL1XR1	ENSG00000177565
62.0	0.0034	GNPTAB	ENSG00000111670
62.0	0.0034	SNX14	ENSG00000135317
