rank	score	gene_symbol	gene_identifier
4248.0	0.0525	AAAS	ENSG00000094914
4248.0	0.0525	AAK1	ENSG00000115977
4248.0	0.0525	AANAT	ENSG00000129673
4248.0	0.0525	AARS1	ENSG00000090861
4248.0	0.0525	AASS	ENSG00000008311
4248.0	0.0525	AATK	ENSG00000181409
4248.0	0.0525	ABAT	ENSG00000183044
4248.0	0.0525	ABCA13	ENSG00000179869
4248.0	0.0525	ABCA2	ENSG00000107331
4248.0	0.0525	ABCA5	ENSG00000154265
4248.0	0.0525	ABCA7	ENSG00000064687
4248.0	0.0525	ABCB1	ENSG00000085563
4248.0	0.0525	ABCB7	ENSG00000131269
4248.0	0.0525	ABCB9	ENSG00000150967
4248.0	0.0525	ABCC4	ENSG00000125257
4248.0	0.0525	ABCC6	ENSG00000091262
4248.0	0.0525	ABCC8	ENSG00000006071
4248.0	0.0525	ABCC9	ENSG00000069431
4248.0	0.0525	ABCD1	ENSG00000101986
4248.0	0.0525	ABCD2	ENSG00000173208
4248.0	0.0525	ABCE1	ENSG00000164163
4248.0	0.0525	ABHD16A	ENSG00000204427
4248.0	0.0525	ABHD17A	ENSG00000129968
4248.0	0.0525	ABI1	ENSG00000136754
4248.0	0.0525	ABI2	ENSG00000138443
4248.0	0.0525	ABL1	ENSG00000097007
4248.0	0.0525	ABL2	ENSG00000143322
4248.0	0.0525	ACADM	ENSG00000117054
4248.0	0.0525	ACADS	ENSG00000122971
4248.0	0.0525	ACADSB	ENSG00000196177
4248.0	0.0525	ACADVL	ENSG00000072778
4248.0	0.0525	ACAN	ENSG00000157766
4248.0	0.0525	ACAT1	ENSG00000075239
4248.0	0.0525	ACBD5	ENSG00000107897
4248.0	0.0525	ACHE	ENSG00000087085
4248.0	0.0525	ACO2	ENSG00000100412
4248.0	0.0525	ACOX1	ENSG00000161533
4248.0	0.0525	ACP2	ENSG00000134575
4248.0	0.0525	ACP5	ENSG00000102575
4248.0	0.0525	ACSF3	ENSG00000176715
4248.0	0.0525	ACTA2	ENSG00000107796
4248.0	0.0525	ACTB	ENSG00000075624
4248.0	0.0525	ACTG1	ENSG00000184009
4248.0	0.0525	ACTL6B	ENSG00000077080
4248.0	0.0525	ACTN4	ENSG00000130402
4248.0	0.0525	ACTR5	ENSG00000101442
4248.0	0.0525	ACVR1	ENSG00000115170
4248.0	0.0525	ACVRL1	ENSG00000139567
4248.0	0.0525	ACY1	ENSG00000243989
4248.0	0.0525	ADA2	ENSG00000093072
4248.0	0.0525	ADAM10	ENSG00000137845
4248.0	0.0525	ADAM17	ENSG00000151694
4248.0	0.0525	ADAM22	ENSG00000008277
4248.0	0.0525	ADAMTS20	ENSG00000173157
4248.0	0.0525	ADAMTS3	ENSG00000156140
4248.0	0.0525	ADAMTS4	ENSG00000158859
4248.0	0.0525	ADAMTSL2	ENSG00000197859
4248.0	0.0525	ADAP1	ENSG00000105963
4248.0	0.0525	ADAR	ENSG00000160710
4248.0	0.0525	ADARB1	ENSG00000197381
4248.0	0.0525	ADAT3	ENSG00000213638
4248.0	0.0525	ADCY1	ENSG00000164742
4248.0	0.0525	ADCY3	ENSG00000138031
4248.0	0.0525	ADCY8	ENSG00000155897
4248.0	0.0525	ADCYAP1R1	ENSG00000078549
4248.0	0.0525	ADD1	ENSG00000087274
4248.0	0.0525	ADD2	ENSG00000075340
4248.0	0.0525	ADD3	ENSG00000148700
4248.0	0.0525	ADGB	ENSG00000118492
4248.0	0.0525	ADGRA2	ENSG00000020181
4248.0	0.0525	ADGRB1	ENSG00000181790
4248.0	0.0525	ADGRG1	ENSG00000205336
4248.0	0.0525	ADGRG6	ENSG00000112414
4248.0	0.0525	ADGRL1	ENSG00000072071
4248.0	0.0525	ADGRV1	ENSG00000164199
4248.0	0.0525	ADH7	ENSG00000196344
4248.0	0.0525	ADIPOR2	ENSG00000006831
4248.0	0.0525	ADK	ENSG00000156110
4248.0	0.0525	ADNP	ENSG00000101126
