rank	score	gene_symbol	gene_identifier
1.0	0.0145	GNB1	ENSG00000078369
2.0	0.0136	GCSH	ENSG00000140905
5.0	0.0135	ARHGEF9	ENSG00000131089
5.0	0.0135	STXBP1	ENSG00000136854
5.0	0.0135	SCN8A	ENSG00000196876
6.0	0.0134	CDKL5	ENSG00000008086
15.0	0.0131	KCNQ2	ENSG00000075043
15.0	0.0131	KCNT1	ENSG00000107147
15.0	0.0131	PIGA	ENSG00000165195
15.0	0.0131	PLCB1	ENSG00000182621
15.0	0.0131	SCN1A	ENSG00000144285
15.0	0.0131	SCN2A	ENSG00000136531
15.0	0.0131	SLC12A5	ENSG00000124140
15.0	0.0131	SLC25A22	ENSG00000177542
15.0	0.0131	TBC1D24	ENSG00000162065
16.0	0.0128	PPP3CA	ENSG00000138814
17.0	0.0122	TUBB2A	ENSG00000137267
18.0	0.0118	GABBR2	ENSG00000136928
19.0	0.0114	FGF12	ENSG00000114279
24.0	0.0108	GABRA1	ENSG00000022355
24.0	0.0108	GABRG2	ENSG00000113327
24.0	0.0108	PCDH19	ENSG00000165194
24.0	0.0108	SCN1B	ENSG00000105711
24.0	0.0108	SCN9A	ENSG00000169432
25.0	0.0106	DOCK7	ENSG00000116641
28.0	0.0105	MTHFS	ENSG00000136371
28.0	0.0105	ALDH7A1	ENSG00000164904
28.0	0.0105	PLPBP	ENSG00000147471
30.0	0.0103	ARFGEF1	ENSG00000066777
30.0	0.0103	ASNS	ENSG00000070669
31.0	0.0102	PLAA	ENSG00000137055
33.0	0.0101	ASPA	ENSG00000108381
33.0	0.0101	SATB1	ENSG00000182568
34.0	0.01	DBT	ENSG00000137992
35.0	0.0099	DENND5A	ENSG00000184014
44.0	0.0096	CLN5	ENSG00000102805
44.0	0.0096	CLN6	ENSG00000128973
44.0	0.0096	CLN8	ENSG00000182372
44.0	0.0096	CTSD	ENSG00000117984
44.0	0.0096	DNAJC5	ENSG00000101152
44.0	0.0096	GRN	ENSG00000030582
44.0	0.0096	MFSD8	ENSG00000164073
44.0	0.0096	PPT1	ENSG00000131238
44.0	0.0096	TPP1	ENSG00000166340
45.0	0.0094	DPYD	ENSG00000188641
48.0	0.0093	DEPDC5	ENSG00000100150
48.0	0.0093	NPRL2	ENSG00000114388
48.0	0.0093	NPRL3	ENSG00000103148
49.0	0.0092	SPTBN1	ENSG00000115306
63.0	0.009	ARX	ENSG00000004848
63.0	0.009	CASK	ENSG00000147044
63.0	0.009	DMXL2	ENSG00000104093
63.0	0.009	GNAO1	ENSG00000087258
63.0	0.009	GRIN1	ENSG00000176884
63.0	0.009	GRM7	ENSG00000196277
63.0	0.009	KCNA1	ENSG00000111262
63.0	0.009	NEUROD2	ENSG00000171532
63.0	0.009	PIGP	ENSG00000185808
63.0	0.009	PIGQ	ENSG00000007541
63.0	0.009	PNKP	ENSG00000039650
63.0	0.009	SIK1	ENSG00000142178
63.0	0.009	SLC32A1	ENSG00000101438
63.0	0.009	TRIM8	ENSG00000171206
65.0	0.0087	DOLK	ENSG00000175283
65.0	0.0087	ATP1A3	ENSG00000105409
67.0	0.0086	SPTAN1	ENSG00000197694
67.0	0.0086	SMC1A	ENSG00000072501
68.0	0.0084	CHD2	ENSG00000173575
69.0	0.008	KCNB1	ENSG00000158445
70.0	0.0079	ST3GAL5	ENSG00000115525
71.0	0.0076	TFE3	ENSG00000068323
73.0	0.0072	ACTL6B	ENSG00000077080
73.0	0.0072	ZMYM2	ENSG00000121741
75.0	0.0071	CUX2	ENSG00000111249
75.0	0.0071	AFG2A	ENSG00000145375
77.0	0.0069	DNM1	ENSG00000106976
77.0	0.0069	GRIA4	ENSG00000152578
78.0	0.0068	DPAGT1	ENSG00000172269
80.0	0.0067	NEXMIF	ENSG00000050030
80.0	0.0067	CACNA1I	ENSG00000100346
81.0	0.0066	PIGT	ENSG00000124155
82.0	0.0065	PAFAH1B1	ENSG00000007168
84.0	0.0064	LRPPRC	ENSG00000138095
84.0	0.0064	GLB1	ENSG00000170266
85.0	0.0063	STRADA	ENSG00000266173
88.0	0.0062	ADK	ENSG00000156110
88.0	0.0062	TRAPPC12	ENSG00000171853
88.0	0.0062	MFF	ENSG00000168958
91.0	0.0061	HEXB	ENSG00000049860
91.0	0.0061	NACC1	ENSG00000160877
91.0	0.0061	FGF13	ENSG00000129682
93.0	0.006	ATP6V1A	ENSG00000114573
93.0	0.006	SLC1A2	ENSG00000110436
95.0	0.0059	PPFIBP1	ENSG00000110841
95.0	0.0059	MECP2	ENSG00000169057
97.0	0.0058	ALG13	ENSG00000101901
97.0	0.0058	FBXO28	ENSG00000143756
101.0	0.0057	KCNC2	ENSG00000166006
101.0	0.0057	ALG2	ENSG00000119523
101.0	0.0057	ST3GAL3	ENSG00000126091
101.0	0.0057	CDK19	ENSG00000155111
104.0	0.0056	PIGW	ENSG00000184886
104.0	0.0056	HID1	ENSG00000167861
104.0	0.0056	MGAT2	ENSG00000168282
107.0	0.0055	CTNNA2	ENSG00000066032
107.0	0.0055	GOLGA2	ENSG00000167110
107.0	0.0055	GRIN2A	ENSG00000183454
111.0	0.0054	ATP6V0C	ENSG00000185883
111.0	0.0054	NTNG1	ENSG00000162631
111.0	0.0054	CNTNAP2	ENSG00000174469
111.0	0.0054	PTPN23	ENSG00000076201
122.0	0.0053	ROGDI	ENSG00000067836
122.0	0.0053	CACNA1A	ENSG00000141837
122.0	0.0053	GABRB3	ENSG00000166206
122.0	0.0053	MAPK10	ENSG00000109339
122.0	0.0053	TBCK	ENSG00000145348
122.0	0.0053	SUOX	ENSG00000139531
122.0	0.0053	AP2M1	ENSG00000161203
122.0	0.0053	SLC2A1	ENSG00000117394
122.0	0.0053	SLC6A1	ENSG00000157103
122.0	0.0053	SYNGAP1	ENSG00000197283
122.0	0.0053	ZNF526	ENSG00000167625
126.0	0.0052	BRAT1	ENSG00000106009
126.0	0.0052	SLC1A4	ENSG00000115902
126.0	0.0052	KCNMA1	ENSG00000156113
126.0	0.0052	KCNH5	ENSG00000140015
132.0	0.0051	SLC25A10	ENSG00000183048
132.0	0.0051	FRRS1L	ENSG00000260230
132.0	0.0051	NGLY1	ENSG00000151092
132.0	0.0051	ERMARD	ENSG00000130023
132.0	0.0051	KCNT2	ENSG00000162687
132.0	0.0051	KANSL1	ENSG00000120071
134.0	0.005	NTRK2	ENSG00000148053
134.0	0.005	TRAK1	ENSG00000182606
141.0	0.0049	ARV1	ENSG00000173409
141.0	0.0049	CNPY3	ENSG00000137161
141.0	0.0049	PCDH12	ENSG00000113555
141.0	0.0049	CARS2	ENSG00000134905
141.0	0.0049	ADGRG1	ENSG00000205336
141.0	0.0049	PI4KA	ENSG00000241973
