rank	score	gene_symbol	gene_identifier
1.0	0.0358	UGT1A1	ENSG00000242366
2.0	0.0346	COG8	ENSG00000213380
3.0	0.0292	ATP6V0A2	ENSG00000185344
4.0	0.0267	DPAGT1	ENSG00000172269
5.0	0.0266	RPL10	ENSG00000147403
6.0	0.0259	GLYCTK	ENSG00000168237
7.0	0.0258	SUOX	ENSG00000139531
8.0	0.0257	COG5	ENSG00000164597
9.0	0.0255	POGZ	ENSG00000143442
10.0	0.0249	DBT	ENSG00000137992
12.0	0.0243	TRAPPC11	ENSG00000168538
12.0	0.0243	SMS	ENSG00000102172
13.0	0.0236	NTNG2	ENSG00000196358
14.0	0.023	GAMT	ENSG00000130005
15.0	0.0226	DEAF1	ENSG00000177030
16.0	0.0225	NAGS	ENSG00000161653
24.0	0.0223	PGAP2	ENSG00000148985
24.0	0.0223	PGAP3	ENSG00000161395
24.0	0.0223	PIGL	ENSG00000108474
24.0	0.0223	PIGO	ENSG00000165282
24.0	0.0223	PIGV	ENSG00000060642
24.0	0.0223	PIGW	ENSG00000184886
24.0	0.0223	PIGY	ENSG00000255072
24.0	0.0223	SRD5A3	ENSG00000128039
25.0	0.0207	PACS1	ENSG00000175115
26.0	0.0206	WARS2	ENSG00000116874
28.0	0.0204	CDC42	ENSG00000070831
28.0	0.0204	GRIN2A	ENSG00000183454
30.0	0.0202	ATP6V1B2	ENSG00000147416
30.0	0.0202	TBC1D24	ENSG00000162065
50.0	0.02	CDON	ENSG00000064309
50.0	0.02	CRIPTO	ENSG00000241186
50.0	0.02	DISP1	ENSG00000154309
50.0	0.02	DLL1	ENSG00000198719
50.0	0.02	FGF8	ENSG00000107831
50.0	0.02	FGFR1	ENSG00000077782
50.0	0.02	FOXH1	ENSG00000160973
50.0	0.02	GAS1	ENSG00000180447
50.0	0.02	GLI2	ENSG00000074047
50.0	0.02	NODAL	ENSG00000156574
50.0	0.02	PTCH1	ENSG00000185920
50.0	0.02	SHH	ENSG00000164690
50.0	0.02	SIX3	ENSG00000138083
50.0	0.02	STIL	ENSG00000123473
50.0	0.02	TGIF1	ENSG00000177426
50.0	0.02	ZIC2	ENSG00000043355
50.0	0.02	PLCH1	ENSG00000114805
50.0	0.02	SMC1A	ENSG00000072501
50.0	0.02	STAG2	ENSG00000101972
50.0	0.02	EBF3	ENSG00000108001
51.0	0.0197	ADAT3	ENSG00000213638
53.0	0.0196	ASXL3	ENSG00000141431
53.0	0.0196	SYT1	ENSG00000067715
56.0	0.0195	NKX2-1	ENSG00000136352
56.0	0.0195	TELO2	ENSG00000100726
56.0	0.0195	MAGEL2	ENSG00000254585
57.0	0.0193	MECP2	ENSG00000169057
58.0	0.0192	UBTF	ENSG00000108312
76.0	0.0191	ARX	ENSG00000004848
76.0	0.0191	CASK	ENSG00000147044
76.0	0.0191	CDKL5	ENSG00000008086
76.0	0.0191	DMXL2	ENSG00000104093
76.0	0.0191	GNAO1	ENSG00000087258
76.0	0.0191	GRIN1	ENSG00000176884
76.0	0.0191	GRM7	ENSG00000196277
76.0	0.0191	KCNA1	ENSG00000111262
76.0	0.0191	NEUROD2	ENSG00000171532
76.0	0.0191	PIGP	ENSG00000185808
76.0	0.0191	PIGQ	ENSG00000007541
76.0	0.0191	PNKP	ENSG00000039650
76.0	0.0191	SCN1B	ENSG00000105711
76.0	0.0191	SCN2A	ENSG00000136531
76.0	0.0191	SIK1	ENSG00000142178
76.0	0.0191	SLC25A22	ENSG00000177542
76.0	0.0191	SLC32A1	ENSG00000101438
76.0	0.0191	TRIM8	ENSG00000171206
