rank	score	gene_symbol	gene_identifier
1.0	0.049	SPTAN1	ENSG00000197694
8.0	0.0143	AP2M1	ENSG00000161203
8.0	0.0143	CHD2	ENSG00000173575
8.0	0.0143	NEXMIF	ENSG00000050030
8.0	0.0143	SCN1A	ENSG00000144285
8.0	0.0143	SLC2A1	ENSG00000117394
8.0	0.0143	SLC6A1	ENSG00000157103
8.0	0.0143	SYNGAP1	ENSG00000197283
9.0	0.0132	GNB1	ENSG00000078369
36.0	0.0124	ARX	ENSG00000004848
36.0	0.0124	CASK	ENSG00000147044
36.0	0.0124	CDKL5	ENSG00000008086
36.0	0.0124	DMXL2	ENSG00000104093
36.0	0.0124	GNAO1	ENSG00000087258
36.0	0.0124	GRIN1	ENSG00000176884
36.0	0.0124	GRM7	ENSG00000196277
36.0	0.0124	KCNA1	ENSG00000111262
36.0	0.0124	NEUROD2	ENSG00000171532
36.0	0.0124	PIGP	ENSG00000185808
36.0	0.0124	PIGQ	ENSG00000007541
36.0	0.0124	PNKP	ENSG00000039650
36.0	0.0124	SCN1B	ENSG00000105711
36.0	0.0124	SCN2A	ENSG00000136531
36.0	0.0124	SIK1	ENSG00000142178
36.0	0.0124	SLC25A22	ENSG00000177542
36.0	0.0124	SLC32A1	ENSG00000101438
36.0	0.0124	TRIM8	ENSG00000171206
36.0	0.0124	SEPSECS	ENSG00000109618
36.0	0.0124	TSEN15	ENSG00000198860
36.0	0.0124	TSEN2	ENSG00000154743
36.0	0.0124	TSEN34	ENSG00000170892
36.0	0.0124	TSEN54	ENSG00000182173
36.0	0.0124	SDHA	ENSG00000073578
36.0	0.0124	SDHAF1	ENSG00000205138
36.0	0.0124	SDHB	ENSG00000117118
36.0	0.0124	SDHD	ENSG00000204370
37.0	0.0118	GRIK2	ENSG00000164418
38.0	0.0116	FZR1	ENSG00000105325
40.0	0.0115	KCNC2	ENSG00000166006
40.0	0.0115	GABRG2	ENSG00000113327
41.0	0.0113	STXBP1	ENSG00000136854
42.0	0.0111	KDM5C	ENSG00000126012
43.0	0.0108	GPAA1	ENSG00000197858
44.0	0.0107	RARS1	ENSG00000113643
45.0	0.0102	GABRB3	ENSG00000166206
46.0	0.01	CAMK2B	ENSG00000058404
47.0	0.0094	FA2H	ENSG00000103089
49.0	0.0093	DOHH	ENSG00000129932
49.0	0.0093	LBR	ENSG00000143815
50.0	0.0091	DNM1	ENSG00000106976
51.0	0.009	CEP85L	ENSG00000111860
52.0	0.0088	GRIN2A	ENSG00000183454
54.0	0.0087	ALDH18A1	ENSG00000059573
54.0	0.0087	FAR1	ENSG00000197601
55.0	0.0086	ATP6V1A	ENSG00000114573
57.0	0.0085	PHGDH	ENSG00000092621
57.0	0.0085	PCDH19	ENSG00000165194
58.0	0.0083	ALDH4A1	ENSG00000159423
59.0	0.0082	KCNH5	ENSG00000140015
60.0	0.0081	BRAT1	ENSG00000106009
70.0	0.008	PAFAH1B1	ENSG00000007168
70.0	0.008	CLN5	ENSG00000102805
70.0	0.008	CLN6	ENSG00000128973
70.0	0.008	CLN8	ENSG00000182372
70.0	0.008	CTSD	ENSG00000117984
70.0	0.008	DNAJC5	ENSG00000101152
70.0	0.008	GRN	ENSG00000030582
70.0	0.008	MFSD8	ENSG00000164073
70.0	0.008	PPT1	ENSG00000131238
70.0	0.008	TPP1	ENSG00000166340
75.0	0.0079	UFSP2	ENSG00000109775
75.0	0.0079	EPM2A	ENSG00000112425
75.0	0.0079	NHLRC1	ENSG00000187566
75.0	0.0079	RUSC2	ENSG00000198853
75.0	0.0079	DOCK7	ENSG00000116641
77.0	0.0078	SPG7	ENSG00000197912
77.0	0.0078	ALDH5A1	ENSG00000112294
78.0	0.0077	HNRNPU	ENSG00000153187
80.0	0.0076	ATP6V0C	ENSG00000185883
80.0	0.0076	AFG2A	ENSG00000145375
84.0	0.0075	SCN3A	ENSG00000153253
84.0	0.0075	MTRR	ENSG00000124275
84.0	0.0075	CTNNA2	ENSG00000066032
84.0	0.0075	GAMT	ENSG00000130005
87.0	0.0074	CLCN4	ENSG00000073464
87.0	0.0074	CACNA1A	ENSG00000141837
87.0	0.0074	HID1	ENSG00000167861
90.0	0.0073	ADGRG1	ENSG00000205336
90.0	0.0073	PTEN	ENSG00000171862
90.0	0.0073	PIGA	ENSG00000165195
96.0	0.0072	SLC33A1	ENSG00000169359
96.0	0.0072	ADGRV1	ENSG00000164199
96.0	0.0072	GABRD	ENSG00000187730
96.0	0.0072	HCN1	ENSG00000164588
96.0	0.0072	SCN9A	ENSG00000169432
96.0	0.0072	STX1B	ENSG00000099365
100.0	0.0071	ALG13	ENSG00000101901
100.0	0.0071	PGAP2	ENSG00000148985
100.0	0.0071	DPM1	ENSG00000000419
100.0	0.0071	CNTNAP2	ENSG00000174469
103.0	0.007	FRRS1L	ENSG00000260230
103.0	0.007	PRMT7	ENSG00000132600
