rank	score	gene_symbol	gene_identifier
1.0	0.0469	SMPD3	ENSG00000103056
2.0	0.0463	RUNX3	ENSG00000020633
3.0	0.046	RIT1	ENSG00000143622
4.0	0.0455	MED1	ENSG00000125686
6.0	0.0402	ERP44	ENSG00000023318
6.0	0.0402	TMEM53	ENSG00000126106
7.0	0.038	TENT5A	ENSG00000112773
8.0	0.0367	ACP2	ENSG00000134575
9.0	0.0364	CTSK	ENSG00000143387
10.0	0.0361	FLNB	ENSG00000136068
11.0	0.036	WWTR1	ENSG00000018408
12.0	0.0355	DLL1	ENSG00000198719
13.0	0.0347	ZMYM3	ENSG00000147130
14.0	0.0334	NKX3-2	ENSG00000109705
15.0	0.0328	HERC1	ENSG00000103657
16.0	0.0326	LMNA	ENSG00000160789
17.0	0.0325	FGFRL1	ENSG00000127418
18.0	0.0315	IHH	ENSG00000163501
19.0	0.0309	TGFB1	ENSG00000105329
20.0	0.0299	LPAR1	ENSG00000198121
21.0	0.0298	NPPC	ENSG00000163273
22.0	0.0274	TBX1	ENSG00000184058
25.0	0.0273	HGS	ENSG00000185359
25.0	0.0273	MAPRE2	ENSG00000166974
25.0	0.0273	TUBB	ENSG00000196230
27.0	0.0264	ALS2	ENSG00000003393
27.0	0.0264	BRCA1	ENSG00000012048
28.0	0.0263	MGP	ENSG00000111341
29.0	0.0252	SCUBE2	ENSG00000175356
30.0	0.0251	ADH5	ENSG00000197894
31.0	0.0247	AAAS	ENSG00000094914
32.0	0.0245	NAT8L	ENSG00000185818
33.0	0.0232	TYMS	ENSG00000176890
57.0	0.0228	ALDH3A2	ENSG00000072210
57.0	0.0228	CAPN15	ENSG00000103326
57.0	0.0228	DPP6	ENSG00000130226
57.0	0.0228	EIF3F	ENSG00000175390
57.0	0.0228	ERCC2	ENSG00000104884
57.0	0.0228	ERCC3	ENSG00000163161
57.0	0.0228	ERCC4	ENSG00000175595
57.0	0.0228	ERCC5	ENSG00000134899
57.0	0.0228	HMGB3	ENSG00000029993
57.0	0.0228	IKBKG	ENSG00000073009
57.0	0.0228	INPP5K	ENSG00000132376
57.0	0.0228	IQSEC1	ENSG00000144711
57.0	0.0228	KMT2B	ENSG00000272333
57.0	0.0228	LMNB1	ENSG00000113368
57.0	0.0228	LRP5	ENSG00000162337
57.0	0.0228	MAD2L2	ENSG00000116670
57.0	0.0228	NCAPD3	ENSG00000151503
57.0	0.0228	PHC1	ENSG00000111752
57.0	0.0228	PNPLA2	ENSG00000177666
57.0	0.0228	RNF168	ENSG00000163961
57.0	0.0228	TRAPPC10	ENSG00000160218
57.0	0.0228	TTI1	ENSG00000101407
57.0	0.0228	TTI2	ENSG00000129696
57.0	0.0228	WASHC4	ENSG00000136051
58.0	0.0226	PHF6	ENSG00000156531
61.0	0.0221	AHSG	ENSG00000145192
61.0	0.0221	ITGB6	ENSG00000115221
61.0	0.0221	LSS	ENSG00000160285
62.0	0.022	MYSM1	ENSG00000162601
63.0	0.0217	SUMF1	ENSG00000144455
64.0	0.0216	DLG1	ENSG00000075711
66.0	0.0214	SELENOI	ENSG00000138018
66.0	0.0214	LRRK1	ENSG00000154237
69.0	0.0213	CEP63	ENSG00000182923
69.0	0.0213	GRIN2A	ENSG00000183454
69.0	0.0213	NCAPD2	ENSG00000010292
70.0	0.0212	SPART	ENSG00000133104
71.0	0.0211	RBM28	ENSG00000106344
72.0	0.0206	CHRNA7	ENSG00000175344
73.0	0.0204	ARPC4	ENSG00000241553
74.0	0.0203	TERT	ENSG00000164362
75.0	0.0202	DPH2	ENSG00000132768
76.0	0.0201	SLC16A2	ENSG00000147100
77.0	0.02	MTR	ENSG00000116984
81.0	0.0197	GMPPA	ENSG00000144591
81.0	0.0197	TRAPPC11	ENSG00000168538
