rank	score	gene_symbol	gene_identifier
1.0	0.0131	CCDC32	ENSG00000128891
2.0	0.0099	KAT6B	ENSG00000156650
3.0	0.0095	LZTR1	ENSG00000099949
4.0	0.0093	FOXF1	ENSG00000103241
5.0	0.0088	ZMYM3	ENSG00000147130
6.0	0.0086	IFT56	ENSG00000105948
7.0	0.0082	ZIC3	ENSG00000156925
9.0	0.0079	KDM6A	ENSG00000147050
9.0	0.0079	AGO2	ENSG00000123908
12.0	0.0078	KAT6A	ENSG00000083168
12.0	0.0078	RPL10	ENSG00000147403
12.0	0.0078	PUF60	ENSG00000179950
13.0	0.0076	DOHH	ENSG00000129932
14.0	0.0075	PPM1D	ENSG00000170836
15.0	0.0073	GATA4	ENSG00000136574
19.0	0.0071	CCDC22	ENSG00000101997
19.0	0.0071	DPYSL5	ENSG00000157851
19.0	0.0071	VPS35L	ENSG00000103544
19.0	0.0071	WASHC5	ENSG00000164961
21.0	0.007	TRAF7	ENSG00000131653
21.0	0.007	NKX2-5	ENSG00000183072
25.0	0.0069	EBP	ENSG00000147155
25.0	0.0069	SMAD2	ENSG00000175387
25.0	0.0069	ACKR3	ENSG00000144476
25.0	0.0069	TASP1	ENSG00000089123
29.0	0.0068	FBXW11	ENSG00000072803
29.0	0.0068	BRAF	ENSG00000157764
29.0	0.0068	PTPN11	ENSG00000179295
29.0	0.0068	RAF1	ENSG00000132155
30.0	0.0067	NF1	ENSG00000196712
33.0	0.0066	KATNB1	ENSG00000140854
33.0	0.0066	NDE1	ENSG00000072864
33.0	0.0066	RELN	ENSG00000189056
34.0	0.0065	GDF1	ENSG00000130283
38.0	0.0063	SCAF4	ENSG00000156304
38.0	0.0063	PLD1	ENSG00000075651
38.0	0.0063	CAPN15	ENSG00000103326
38.0	0.0063	CYBB	ENSG00000165168
39.0	0.0062	SUPT16H	ENSG00000092201
40.0	0.0061	NKX2-1	ENSG00000136352
41.0	0.006	CDH2	ENSG00000170558
43.0	0.0059	FRA10AC1	ENSG00000148690
43.0	0.0059	WAC	ENSG00000095787
46.0	0.0058	VPS33B	ENSG00000184056
46.0	0.0058	INTS1	ENSG00000164880
46.0	0.0058	NAA10	ENSG00000102030
53.0	0.0057	GATA6	ENSG00000141448
53.0	0.0057	IFT27	ENSG00000100360
53.0	0.0057	ZNF462	ENSG00000148143
53.0	0.0057	NFE2L2	ENSG00000116044
53.0	0.0057	PACS1	ENSG00000175115
53.0	0.0057	B3GAT3	ENSG00000149541
53.0	0.0057	FDFT1	ENSG00000079459
64.0	0.0056	SKIC2	ENSG00000204351
64.0	0.0056	SKIC3	ENSG00000198677
64.0	0.0056	BRD4	ENSG00000141867
64.0	0.0056	POLR1A	ENSG00000068654
64.0	0.0056	DHCR7	ENSG00000172893
64.0	0.0056	CREBBP	ENSG00000005339
64.0	0.0056	NR2F2	ENSG00000185551
64.0	0.0056	POLA1	ENSG00000101868
64.0	0.0056	KANSL1	ENSG00000120071
64.0	0.0056	CDK8	ENSG00000132964
64.0	0.0056	MMP21	ENSG00000154485
70.0	0.0055	FBN2	ENSG00000138829
70.0	0.0055	CCNQ	ENSG00000147382
70.0	0.0055	MEGF8	ENSG00000105429
70.0	0.0055	PQBP1	ENSG00000102103
70.0	0.0055	FREM2	ENSG00000150893
70.0	0.0055	PRDM13	ENSG00000112238
73.0	0.0054	OCLN	ENSG00000197822
73.0	0.0054	LONP1	ENSG00000196365
73.0	0.0054	PPP1R13L	ENSG00000104881
84.0	0.0053	CSGALNACT1	ENSG00000147408
84.0	0.0053	ALG9	ENSG00000086848
84.0	0.0053	NSD2	ENSG00000109685
84.0	0.0053	MYH7	ENSG00000092054
84.0	0.0053	SELENON	ENSG00000162430
84.0	0.0053	TTN	ENSG00000155657
84.0	0.0053	NODAL	ENSG00000156574
84.0	0.0053	CTNND2	ENSG00000169862
84.0	0.0053	SEMA5A	ENSG00000112902
84.0	0.0053	PPP2R5D	ENSG00000112640
84.0	0.0053	TRIO	ENSG00000038382
99.0	0.0052	DYNC2LI1	ENSG00000138036
99.0	0.0052	EVC	ENSG00000072840
99.0	0.0052	EVC2	ENSG00000173040
99.0	0.0052	GLI1	ENSG00000111087
99.0	0.0052	PRKACA	ENSG00000072062
99.0	0.0052	PRKACB	ENSG00000142875
99.0	0.0052	GCSH	ENSG00000140905
99.0	0.0052	KLF3	ENSG00000109787
99.0	0.0052	SMC3	ENSG00000108055
99.0	0.0052	ARHGAP31	ENSG00000031081
99.0	0.0052	TRIP4	ENSG00000103671
99.0	0.0052	FLNA	ENSG00000196924
99.0	0.0052	TRAIP	ENSG00000183763
99.0	0.0052	EP300	ENSG00000100393
99.0	0.0052	ATP6V0A2	ENSG00000185344
106.0	0.0051	ROBO1	ENSG00000169855
106.0	0.0051	NSMCE2	ENSG00000156831
106.0	0.0051	YY1	ENSG00000100811
106.0	0.0051	MMP14	ENSG00000157227
106.0	0.0051	MMP2	ENSG00000087245
106.0	0.0051	DHRS3	ENSG00000162496
106.0	0.0051	PLXND1	ENSG00000004399
115.0	0.005	RYR1	ENSG00000196218
115.0	0.005	CBL	ENSG00000110395
115.0	0.005	IGF1R	ENSG00000140443
115.0	0.005	IFT88	ENSG00000032742
115.0	0.005	TAF2	ENSG00000064313
115.0	0.005	NEDD4L	ENSG00000049759
115.0	0.005	TXNDC15	ENSG00000113621
115.0	0.005	TKT	ENSG00000163931
115.0	0.005	MED13L	ENSG00000123066
122.0	0.0049	NOTCH1	ENSG00000148400
122.0	0.0049	IPO8	ENSG00000133704
122.0	0.0049	OTUD6B	ENSG00000155100
122.0	0.0049	YARS1	ENSG00000134684
122.0	0.0049	WDR37	ENSG00000047056
122.0	0.0049	SMAD6	ENSG00000137834
122.0	0.0049	CHST14	ENSG00000169105
130.0	0.0048	SOS1	ENSG00000115904
130.0	0.0048	UBR7	ENSG00000012963
130.0	0.0048	TGFBR1	ENSG00000106799
130.0	0.0048	CFC1	ENSG00000136698
130.0	0.0048	MAP3K7	ENSG00000135341
130.0	0.0048	GATA5	ENSG00000130700
130.0	0.0048	UFC1	ENSG00000143222
130.0	0.0048	DAW1	ENSG00000123977
136.0	0.0047	DYRK1A	ENSG00000157540
136.0	0.0047	SMG8	ENSG00000167447
136.0	0.0047	BICRA	ENSG00000063169
136.0	0.0047	C2CD3	ENSG00000168014
136.0	0.0047	GLI3	ENSG00000106571
136.0	0.0047	RAC1	ENSG00000136238
153.0	0.0046	RAI1	ENSG00000108557
153.0	0.0046	FOCAD	ENSG00000188352
153.0	0.0046	CHRNA7	ENSG00000175344
153.0	0.0046	KRAS	ENSG00000133703
153.0	0.0046	HEATR3	ENSG00000155393
153.0	0.0046	PCSK5	ENSG00000099139
153.0	0.0046	DPF2	ENSG00000133884
153.0	0.0046	DEF6	ENSG00000023892
153.0	0.0046	EDNRA	ENSG00000151617
153.0	0.0046	CNTRL	ENSG00000119397
153.0	0.0046	RAP1B	ENSG00000127314
153.0	0.0046	LRPPRC	ENSG00000138095
153.0	0.0046	RERE	ENSG00000142599
153.0	0.0046	AFF4	ENSG00000072364
153.0	0.0046	HYLS1	ENSG00000198331
153.0	0.0046	FBLN1	ENSG00000077942
153.0	0.0046	CFAP45	ENSG00000213085
160.0	0.0045	MCTP2	ENSG00000140563
160.0	0.0045	HEY2	ENSG00000135547
160.0	0.0045	DNAH9	ENSG00000007174
160.0	0.0045	IRX5	ENSG00000176842
160.0	0.0045	RSPO2	ENSG00000147655
160.0	0.0045	ACVR2B	ENSG00000114739
160.0	0.0045	NIPBL	ENSG00000164190
188.0	0.0044	CEP290	ENSG00000198707
188.0	0.0044	BANF1	ENSG00000175334
188.0	0.0044	TAB2	ENSG00000055208
188.0	0.0044	PDS5A	ENSG00000121892
188.0	0.0044	STAMBP	ENSG00000124356
188.0	0.0044	MATR3	ENSG00000015479
188.0	0.0044	BAZ1B	ENSG00000009954
188.0	0.0044	BCL7B	ENSG00000106635
188.0	0.0044	BUD23	ENSG00000071462
188.0	0.0044	CLIP2	ENSG00000106665
188.0	0.0044	DNAJC30	ENSG00000176410
188.0	0.0044	EIF4H	ENSG00000106682
188.0	0.0044	ELN	ENSG00000049540
188.0	0.0044	FKBP6	ENSG00000077800
188.0	0.0044	GTF2I	ENSG00000077809
188.0	0.0044	GTF2IRD1	ENSG00000006704
188.0	0.0044	GTF2IRD2	ENSG00000196275
188.0	0.0044	LIMK1	ENSG00000106683
188.0	0.0044	METTL27	ENSG00000165171
188.0	0.0044	MLXIPL	ENSG00000009950
188.0	0.0044	NCF1	ENSG00000158517
188.0	0.0044	RFC2	ENSG00000049541
188.0	0.0044	STX1A	ENSG00000106089
188.0	0.0044	TBL2	ENSG00000106638
188.0	0.0044	TMEM270	ENSG00000175877
188.0	0.0044	VPS37D	ENSG00000176428
188.0	0.0044	RBM8A	ENSG00000131795
188.0	0.0044	CACNA1C	ENSG00000151067
201.0	0.0043	SIRT1	ENSG00000096717
201.0	0.0043	BBS2	ENSG00000125124
201.0	0.0043	CDC45	ENSG00000093009
201.0	0.0043	ADAM19	ENSG00000135074
201.0	0.0043	CHMP1A	ENSG00000131165
201.0	0.0043	PLAGL1	ENSG00000118495
201.0	0.0043	ZFPM2	ENSG00000169946
201.0	0.0043	WLS	ENSG00000116729
201.0	0.0043	RIT1	ENSG00000143622
201.0	0.0043	CUL3	ENSG00000036257
201.0	0.0043	NFIX	ENSG00000008441
201.0	0.0043	DSE	ENSG00000111817
201.0	0.0043	PRKD1	ENSG00000184304
213.0	0.0042	DNAH11	ENSG00000105877
213.0	0.0042	POGZ	ENSG00000143442
213.0	0.0042	NOTCH3	ENSG00000074181
213.0	0.0042	TBX5	ENSG00000089225
213.0	0.0042	ALG12	ENSG00000182858
213.0	0.0042	NONO	ENSG00000147140
213.0	0.0042	MYOCD	ENSG00000141052
213.0	0.0042	ACTB	ENSG00000075624
213.0	0.0042	TGFBR2	ENSG00000163513
213.0	0.0042	KIF11	ENSG00000138160
213.0	0.0042	PCNT	ENSG00000160299
213.0	0.0042	NTRK3	ENSG00000140538
225.0	0.0041	ATP6V1E1	ENSG00000131100
225.0	0.0041	SHANK3	ENSG00000251322
225.0	0.0041	BIN1	ENSG00000136717
225.0	0.0041	SPEG	ENSG00000072195
225.0	0.0041	CCDC39	ENSG00000145075
225.0	0.0041	ARPC4	ENSG00000241553
225.0	0.0041	ATP2A2	ENSG00000174437
225.0	0.0041	SPTBN1	ENSG00000115306
225.0	0.0041	SIN3A	ENSG00000169375
225.0	0.0041	MID1	ENSG00000101871
225.0	0.0041	ADAMTS19	ENSG00000145808
225.0	0.0041	ZNF699	ENSG00000196110
232.0	0.004	ATE1	ENSG00000107669
232.0	0.004	PKD1L1	ENSG00000158683
232.0	0.004	NSDHL	ENSG00000147383
232.0	0.004	GNPTAB	ENSG00000111670
232.0	0.004	H3-3A	ENSG00000163041
232.0	0.004	MGRN1	ENSG00000102858
232.0	0.004	CCN1	ENSG00000142871
244.0	0.0039	STAG2	ENSG00000101972
244.0	0.0039	ESAM	ENSG00000149564
244.0	0.0039	OGT	ENSG00000147162
244.0	0.0039	H3-3B	ENSG00000132475
244.0	0.0039	HNRNPK	ENSG00000165119
244.0	0.0039	SH3PXD2B	ENSG00000174705
244.0	0.0039	CC2D2A	ENSG00000048342
244.0	0.0039	NEK1	ENSG00000137601
244.0	0.0039	TAF1	ENSG00000147133
244.0	0.0039	SMC5	ENSG00000198887
244.0	0.0039	PIGN	ENSG00000197563
244.0	0.0039	TELO2	ENSG00000100726
256.0	0.0038	TET3	ENSG00000187605
256.0	0.0038	SMAD3	ENSG00000166949
256.0	0.0038	GNB5	ENSG00000069966
256.0	0.0038	KIF7	ENSG00000166813
256.0	0.0038	ALG13	ENSG00000101901
256.0	0.0038	OFD1	ENSG00000046651
256.0	0.0038	CITED2	ENSG00000164442
256.0	0.0038	PRR12	ENSG00000126464
256.0	0.0038	PRORP	ENSG00000100890
256.0	0.0038	TRRAP	ENSG00000196367
256.0	0.0038	FMR1	ENSG00000102081
256.0	0.0038	ADAMTS10	ENSG00000142303
268.0	0.0037	NTF3	ENSG00000185652
268.0	0.0037	BCAS3	ENSG00000141376
268.0	0.0037	GJA5	ENSG00000143140
268.0	0.0037	KMT2D	ENSG00000167548
268.0	0.0037	ROBO4	ENSG00000154133
268.0	0.0037	SDHD	ENSG00000204370
