rank	score	gene_symbol	gene_identifier
1.0	0.0081	MED12L	ENSG00000144893
2.0	0.0079	ASH1L	ENSG00000116539
3.0	0.0076	SMC1A	ENSG00000072501
4.0	0.0073	GATAD2B	ENSG00000143614
5.0	0.0066	USP7	ENSG00000187555
7.0	0.0061	PUF60	ENSG00000179950
7.0	0.0061	WDR35	ENSG00000118965
10.0	0.0059	CREBBP	ENSG00000005339
10.0	0.0059	EP300	ENSG00000100393
10.0	0.0059	SIN3A	ENSG00000169375
11.0	0.0057	TRIO	ENSG00000038382
12.0	0.0056	ADNP	ENSG00000101126
13.0	0.0055	SMS	ENSG00000102172
15.0	0.0053	SPTBN1	ENSG00000115306
15.0	0.0053	TRRAP	ENSG00000196367
17.0	0.0051	SETD5	ENSG00000168137
17.0	0.0051	DDX59	ENSG00000118197
19.0	0.005	CLCN3	ENSG00000109572
19.0	0.005	EIF4A2	ENSG00000156976
20.0	0.0049	SH2B1	ENSG00000178188
21.0	0.0048	CARS1	ENSG00000110619
27.0	0.0047	MAGEL2	ENSG00000254585
27.0	0.0047	NDN	ENSG00000182636
27.0	0.0047	OCA2	ENSG00000104044
27.0	0.0047	SNRPN	ENSG00000128739
27.0	0.0047	AUTS2	ENSG00000158321
27.0	0.0047	HNRNPK	ENSG00000165119
28.0	0.0046	TUBB3	ENSG00000198211
29.0	0.0045	EBF3	ENSG00000108001
32.0	0.0044	SATB1	ENSG00000182568
32.0	0.0044	KAT8	ENSG00000103510
32.0	0.0044	CACNA1G	ENSG00000006283
42.0	0.0043	POLR1A	ENSG00000068654
42.0	0.0043	CLN5	ENSG00000102805
42.0	0.0043	CLN6	ENSG00000128973
42.0	0.0043	CLN8	ENSG00000182372
42.0	0.0043	CTSD	ENSG00000117984
42.0	0.0043	DNAJC5	ENSG00000101152
42.0	0.0043	GRN	ENSG00000030582
42.0	0.0043	MFSD8	ENSG00000164073
42.0	0.0043	PPT1	ENSG00000131238
42.0	0.0043	TPP1	ENSG00000166340
47.0	0.0042	TCF20	ENSG00000100207
47.0	0.0042	ODC1	ENSG00000115758
47.0	0.0042	PACS1	ENSG00000175115
47.0	0.0042	HNRNPC	ENSG00000092199
47.0	0.0042	RFX7	ENSG00000181827
52.0	0.0041	NAA10	ENSG00000102030
52.0	0.0041	HEATR3	ENSG00000155393
52.0	0.0041	PANK2	ENSG00000125779
52.0	0.0041	TET3	ENSG00000187605
52.0	0.0041	CLP1	ENSG00000172409
54.0	0.004	TAF4	ENSG00000130699
54.0	0.004	UBAP2L	ENSG00000143569
58.0	0.0039	BRPF1	ENSG00000156983
58.0	0.0039	GRIA1	ENSG00000155511
58.0	0.0039	CNOT3	ENSG00000088038
58.0	0.0039	TRAF7	ENSG00000131653
64.0	0.0038	CDH2	ENSG00000170558
64.0	0.0038	ATP6V1B2	ENSG00000147416
64.0	0.0038	TBC1D24	ENSG00000162065
64.0	0.0038	CDK13	ENSG00000065883
64.0	0.0038	RAI1	ENSG00000108557
64.0	0.0038	SHANK3	ENSG00000251322
68.0	0.0037	PHIP	ENSG00000146247
68.0	0.0037	TLK2	ENSG00000146872
68.0	0.0037	KDM4B	ENSG00000127663
68.0	0.0037	PDZD8	ENSG00000165650
73.0	0.0036	ZMIZ1	ENSG00000108175
73.0	0.0036	YY1	ENSG00000100811
73.0	0.0036	MID2	ENSG00000080561
73.0	0.0036	KMT2B	ENSG00000272333
73.0	0.0036	KCNK4	ENSG00000182450
78.0	0.0035	KAT6A	ENSG00000083168
78.0	0.0035	CERT1	ENSG00000113163
78.0	0.0035	MBD5	ENSG00000204406
78.0	0.0035	CDC42BPB	ENSG00000198752
